Ticker,RS,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,9 Months Ago,Rating (RS),Rating (1M),Rating (3M),Rating (6M),Rating (9M),Price,52W pos,MA10,MA30,Volume / VMA10
AIZ,,,,,,,,,,,,,,,,
AJG,,,,,,,,,,,,,,,,
AKA,,,,,,,,,,,,10.9,0.3,11.25,13.01,
AKAM,,,,,,,,,,,,,,,,
AKAN,,,,,,,,,,,,,,,,
AKBA,,,,,,,,,,,,3.86,0.96,3.55,2.77,
AKR,,,,,,,,,,,,18.55,0.48,18.78,19.86,
AKRO,,,,,,,,,,,,,,,,
AKTX,,,,,,,,,,,,1.13,0.06,1.18,1.33,
AL,,,,,,,,,,,,,,,,
ALAB,,,,,,,,,,,,102.13,0.61,92.34,86.21,
ALAR,,,,,,,,,,,,11.92,0.24,11.11,10.31,
ALB,,,,,,,,,,,,,,,,
ALBT,,,,,,,,,,,,,,,,
ALC,,,,,,,,,,,,,,,,
ALCO,,,,,,,,,,,,32.33,0.86,31.96,30.3,
ALCY,,,,,,,,,,,,11.72,0.74,11.67,11.43,
ALCYU,,,,,,,,,,,,11.41,0.63,11.42,11.35,
ALDF,,,,,,,,,,,,10.46,0.92,10.43,10.26,
ALDFU,,,,,,,,,,,,,,,,
ALDX,,,,,,,,,,,,5.39,0.6,3.96,3.97,
ALE,,,,,,,,,,,,,,,,
ALEC,,,,,,,,,,,,1.59,0.09,1.49,1.79,
ALEX,,,,,,,,,,,,,,,,
ALF,,,,,,,,,,,,10.52,0.82,10.51,10.37,
ALFUU,,,,,,,,,,,,10.7,0.71,10.73,10.51,
ALG,,,,,,,,,,,,217.15,0.87,213.26,197.14,
ALGM,,,,,,,,,,,,,,,,
ALGN,,,,,,,,,,,,190.77,0.16,188.89,191.88,
ALGS,,,,,,,,,,,,9.16,0.13,7.83,11.0,
ALGT,,,,,,,,,,,,,,,,
ALHC,,,,,,,,,,,,12.41,0.51,13.95,14.36,
ALIT,,,,,,,,,,,,,,,,
ALK,,,,,,,,,,,,,,,,
ALKS,,,,,,,,,,,,,,,,
ALKT,,,,,,,,,,,,,,,,
ALL,,,,,,,,,,,,,,,,
ALLE,,,,,,,,,,,,152.82,1.0,144.88,138.14,
ALLO,,,,,,,,,,,,1.25,0.04,1.27,1.57,
ALLR,,,,,,,,,,,,,,,,
ALLT,,,,,,,,,,,,8.04,0.8,8.36,7.1,
ALLY,,,,,,,,,,,,,,,,
ALM,,,,,,,,,,,,4.53,0.58,5.34,4.03,
ALMS,,,,,,,,,,,,,,,,
ALMU,,,,,,,,,,,,18.09,0.95,15.35,11.24,
ALNT,,,,,,,,,,,,,,,,
ALNY,,,,,,,,,,,,,,,,
ALOT,,,,,,,,,,,,,,,,
ALRM,,,,,,,,,,,,55.32,0.2,56.12,57.16,
ALRS,,,,,,,,,,,,22.06,0.82,21.56,20.46,
ALSN,,,,,,,,,,,,86.99,0.53,94.24,97.36,
ALT,,,,,,,,,,,,4.08,0.19,4.88,5.64,
ALTG,,,,,,,,,,,,,,,,
ALTI,,,,,,,,,,,,4.41,0.29,3.98,3.78,
ALTO,,,,,,,,,,,,,,,,
ALTS,,,,,,,,,,,,7.32,0.7,8.08,6.7,
ALUR,,,,,,,,,,,,3.14,0.0,2.74,5.6,
ALV,,,,,,,,,,,,,,,,
ALVO,,,,,,,,,,,,,,,,
ALX,,,,,,,,,,,,,,,,
ALXO,,,,,,,,,,,,,,,,
ALZN,,,,,,,,,,,,3.28,0.0,3.54,8.51,
AM,,,,,,,,,,,,,,,,
AMAL,,,,,,,,,,,,,,,,
AMAT,,,,,,,,,,,,,,,,
AMBA,,,,,,,,,,,,69.38,0.71,62.34,59.74,
AMBC,,,,,,,,,,,,,,,,
AMBI,,,,,,,,,,,,4.4,0.17,4.61,4.72,
AMBO,,,,,,,,,,,,,,,,
AMBP,,,,,,,,,,,,4.57,0.93,4.28,3.67,
AMBR,,,,,,,,,,,,,,,,
AMC,,,,,,,,,,,,3.54,0.02,3.22,3.36,
AMCR,,,,,,,,,,,,,,,,
AMCX,,,,,,,,,,,,,,,,
AMD,,,,,,,,,,,,,,,,
AME,,,,,,,,,,,,,,,,
AMED,,,,,,,,,,,,97.46,0.94,96.41,94.58,
AMG,,,,,,,,,,,,209.95,1.0,194.5,181.62,
AMGN,,,,,,,,,,,,,,,,
AMH,,,,,,,,,,,,36.15,0.62,36.24,36.3,
AMIX,,,,,,,,,,,,,,,,
AMKR,,,,,,,,,,,,,,,,
AMLX,,,,,,,,,,,,,,,,
AMN,,,,,,,,,,,,19.82,0.01,21.09,24.38,
AMOD,,,,,,,,,,,,1.23,0.02,1.22,2.52,
AMP,,,,,,,,,,,,544.55,0.9,525.45,508.49,
AMPG,,,,,,,,,,,,,,,,
AMPH,,,,,,,,,,,,,,,,
AMPL,,,,,,,,,,,,,,,,
AMPX,,,,,,,,,,,,8.66,1.0,5.16,3.54,
AMPY,,,,,,,,,,,,,,,,
AMR,,,,,,,,,,,,,,,,
AMRC,,,,,,,,,,,,,,,,
AMRK,,,,,,,,,,,,,,,,
AMRN,,,,,,,,,,,,15.82,0.42,14.56,12.46,
AMRX,,,,,,,,,,,,,,,,
AMRZ,,,,,,,,,,,,49.6,0.42,49.49,49.19,
AMS,,,,,,,,,,,,,,,,
AMSC,,,,,,,,,,,,42.72,1.0,35.08,28.39,
AMSF,,,,,,,,,,,,45.18,0.41,44.94,46.81,
AMST,,,,,,,,,,,,,,,,
AMT,,,,,,,,,,,,,,,,
AMTB,,,,,,,,,,,,19.95,0.37,18.73,19.36,
AMTD,,,,,,,,,,,,1.03,0.01,1.04,1.09,
AMTM,,,,,,,,,,,,25.24,0.49,23.21,22.19,
AMTX,,,,,,,,,,,,,,,,
AMWD,,,,,,,,,,,,52.45,0.03,55.01,62.6,
AMWL,,,,,,,,,,,,,,,,
AMX,,,,,,,,,,,,,,,,
AMZE,,,,,,,,,,,,,,,,
AMZN,,,,,,,,,,,,,,,,
AN,,,,,,,,,,,,,,,,
ANAB,,,,,,,,,,,,,,,,
ANDE,,,,,,,,,,,,36.16,0.1,36.81,38.92,
ANEB,,,,,,,,,,,,,,,,
ANET,,,,,,,,,,,,,,,,
ANF,,,,,,,,,,,,,,,,
ANGH,,,,,,,,,,,,,,,,
ANGI,,,,,,,,,,,,,,,,
ANGO,,,,,,,,,,,,8.69,0.47,9.55,9.45,
ANIK,,,,,,,,,,,,10.5,0.0,11.26,13.89,
ANIP,,,,,,,,,,,,,,,,
ANIX,,,,,,,,,,,,3.44,0.45,3.15,2.98,
ANL,,,,,,,,,,,,1.5,0.0,1.61,2.03,
ANNA,,,,,,,,,,,,,,,,
ANNX,,,,,,,,,,,,2.32,0.14,2.42,2.86,
ANPA,,,,,,,,,,,,7.81,1.0,4.43,3.81,
ANRO,,,,,,,,,,,,,,,,
ANSC,,,,,,,,,,,,,,,,
ANSCU,,,,,,,,,,,,10.77,0.97,10.77,10.71,
ANSS,,,,,,,,,,,,,,,,
ANTA,,,,,,,,,,,,,,,,
ANTE,,,,,,,,,,,,1.06,0.37,0.83,0.7,
ANTX,,,,,,,,,,,,,,,,
ANVS,,,,,,,,,,,,,,,,
ANY,,,,,,,,,,,,0.67,0.08,0.66,0.73,
AOMR,,,,,,,,,,,,,,,,
AON,,,,,,,,,,,,356.11,0.6,357.58,362.62,
AORT,,,,,,,,,,,,,,,,
AOS,,,,,,,,,,,,,,,,
AOSL,,,,,,,,,,,,,,,,
AOUT,,,,,,,,,,,,,,,,
AP,,,,,,,,,,,,,,,,
