Ticker,Name,Sector,Industry,RS,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,9 Months Ago,Rating (RS),Price,MA10,MA30,Volume / VMA10,EPS RS (%),TTM EPS,Rev RS (%),TTM RPS,TTM PE
2616,山隆,Consumer Cyclical,Specialty Retail,-33.19,-30.49,-34.32,-35.18,-24.74,-11.15,5,20.8,21.07,24.12,0.5,-814.21,0.08,-36.18,110.25,260.0
5348,正能量智能,Technology,Communication Equipment,-33.4,-33.95,-31.59,-45.94,-9.34,30.36,4,26.3,26.49,28.07,1.24,-136.32,-0.26,-18.32,18.431,
2722,夏都,Consumer Cyclical,Resorts & Casinos,-33.41,-31.73,-32.87,-23.0,-23.16,4.58,4,40.0,41.07,50.44,0.62,-131040.34,0.48,-14.84,5.797,83.33
6732,昇佳電子,Technology,Electronic Components,-33.41,-33.12,-40.64,-28.13,-8.27,9.92,4,293.0,275.05,324.82,1.69,-70.4,15.18,-20.29,101.395,19.3
1303,南亞,Basic Materials,Specialty Chemicals,-33.45,-28.48,-38.72,-38.91,-29.3,-14.96,4,43.45,44.52,50.22,0.63,-53.77,0.95,-6.03,32.188,45.74
3178,公準,Industrials,Tools & Accessories,-33.52,-30.92,-30.77,-13.79,16.14,13.29,4,77.7,82.32,101.73,0.67,-57.98,2.86,-9.6,33.025,27.17
3552,同致,Consumer Cyclical,Auto Parts,-33.64,-30.81,-33.99,-33.52,-27.13,-10.14,4,83.5,84.16,94.88,0.91,-243.77,3.95,-28.71,103.823,21.14
4502,健信,Industrials,Metal Fabrication,-33.67,-31.27,-29.83,-33.63,-16.39,-7.14,4,25.5,26.39,30.06,0.84,-397.75,0.69,-14.31,26.988,36.96
6547,高端疫苗,Healthcare,Biotechnology,-33.83,-32.89,-29.4,-33.74,-32.57,-2.1,4,44.15,46.38,49.84,1.25,423.5,-2.11,2.34,1.897,
6531,愛普*,Technology,Semiconductors,-34.15,-33.24,-30.49,-23.42,-9.2,38.99,4,302.5,302.75,345.72,0.53,-23.86,10.04,-18.44,25.273,30.13
2457,飛宏,Industrials,Electrical Equipment & Parts,-34.44,-30.25,-38.18,-31.24,-29.32,-10.57,4,39.25,39.72,46.61,0.84,-94.0,0.51,-18.73,27.392,76.96
2063,世鎧,Industrials,Tools & Accessories,-34.5,-31.51,-29.24,-26.91,-10.93,3.06,4,39.2,42.65,49.4,0.68,-139.12,4.94,-29.21,26.485,7.94
6469,大樹,Healthcare,Pharmaceutical Retailers,-34.63,-31.27,-39.82,-41.13,-23.16,0.81,4,188.0,186.38,215.59,1.23,-6.49,5.04,-8.74,127.194,37.3
1326,台化,Basic Materials,Chemicals,-34.7,-30.39,-38.37,-35.57,-26.08,-14.23,4,41.2,42.7,49.48,0.75,-113.21,1.88,-1.33,60.666,21.91
4426,利勤,Consumer Cyclical,Textile Manufacturing,-34.7,-32.38,-36.4,-33.94,-31.27,-13.83,4,13.5,13.75,15.79,0.69,-779.62,-0.56,-31.92,6.673,
6952,大武山,Consumer Defensive,Farm Products,-34.75,-33.47,-34.51,-44.72,-5.37,-7.33,4,49.4,50.32,60.55,0.82,-162.64,2.45,-23.51,21.6,20.16
2227,裕日車,Consumer Cyclical,Auto Manufacturers,-34.75,-30.02,-37.45,-38.77,-40.06,-10.17,4,115.0,117.7,128.57,0.42,-28.84,5.42,-21.67,88.041,21.22
4550,長佳,Industrials,Engineering & Construction,-34.88,-31.08,-26.02,-15.07,0.67,8.46,4,26.25,28.08,34.53,0.71,-1095.25,2.89,-46.77,49.551,9.08
6182,合晶,Technology,Semiconductor Equipment & Materials,-35.16,-31.81,-30.03,-23.11,-22.65,-10.07,4,29.85,32.41,36.82,1.33,-2259.76,0.25,-9.56,16.72,119.4
6204,艾華,Technology,Electronic Components,-35.61,-31.92,-19.7,9.59,36.82,71.15,4,90.3,108.66,126.79,0.61,-939.0,17.36,-4.3,16.947,5.2
2736,富野,Consumer Cyclical,Lodging,-35.77,-34.5,-37.68,-31.96,-31.49,-4.69,3,19.0,18.94,23.55,0.53,-121.29,-2.09,-39.63,7.529,
