Ticker,Name,RS,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,9 Months Ago,Rating (RS),Rating (1M),Rating (3M),Rating (6M),Rating (9M),Price,52W pos,MA10,MA30,Volume / VMA10
4907,富宇,-7.39,-5.63,4.41,49.05,39.09,21.38,66,79,96,94,91,65.4,0.5,70.86,75.17,0.07
00875,國泰網路資安,-7.4,-6.75,-6.41,-12.18,-5.51,7.53,66,61,53,60,81,34.36,0.98,33.26,32.49,0.05
5243,乙盛-KY,-7.42,-11.19,-6.69,-13.64,-25.87,-20.42,66,60,49,9,8,64.3,0.31,61.75,60.78,0.33
8182,加高,-7.42,-8.56,-5.13,-13.11,-8.38,-7.22,66,63,50,53,45,37.3,0.89,36.47,35.84,0.49
00891,中信關鍵半導體,-7.43,-8.66,-8.74,-2.65,0.18,8.51,66,55,71,71,82,18.86,0.86,18.18,18.34,0.55
3141,晶宏,-7.5,-18.26,-26.86,-16.22,-24.15,-15.01,66,8,41,11,18,97.6,0.54,84.44,88.48,1.83
4911,德英,-7.56,-7.43,-14.58,-18.78,-18.13,-14.22,66,36,33,22,20,59.8,0.52,55.78,55.68,1.35
8367,建新國際,-7.58,-7.79,0.75,-4.89,-5.91,-6.32,66,74,68,59,48,50.2,0.83,51.15,49.62,0.19
1319,東陽,-7.61,-9.25,3.17,-11.21,46.89,18.02,66,78,55,95,89,106.0,0.72,103.28,107.82,0.24
2049,上銀,-7.63,-8.32,-18.82,-21.83,-9.04,-10.43,66,23,22,51,32,243.0,0.73,219.15,221.25,0.57
3587,閎康,-7.72,-10.52,-7.28,-18.35,6.45,5.63,66,59,34,80,78,285.5,0.87,277.5,278.83,0.62
2404,漢唐,-7.76,-10.0,-9.1,-10.25,37.76,11.63,66,54,57,94,85,347.0,0.75,334.6,353.13,0.33
6426,統新,-7.76,-4.57,-13.53,-25.85,-19.44,-7.87,66,40,12,19,42,75.5,0.58,69.85,66.56,0.3
1777,生泰,-7.77,-8.15,-2.65,-8.11,-15.66,-9.33,65,68,62,29,36,95.5,0.71,95.47,92.15,0.24
1537,廣隆,-7.77,-8.63,-3.01,-12.74,-10.25,-11.63,65,67,51,47,28,150.5,0.93,148.9,145.18,0.19
8446,華研,-7.8,-9.09,-5.32,-15.1,-11.79,0.25,65,63,45,42,68,117.5,0.69,116.55,110.5,0.57
6284,佳邦,-7.84,-9.09,-9.05,-4.82,8.13,12.16,65,54,68,81,86,90.7,0.85,88.22,87.85,0.18
1220,台榮,-7.86,-7.47,-2.86,-14.51,-7.61,-14.56,65,68,47,55,19,16.2,0.63,16.43,15.85,0.16
