Ticker,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
VICI,100.47,101.82,106.66,112.13,106.09,115.33,60,77,53,78,32.95,0.93,31.75,30.75,1.12
ABNB,100.44,100.44,99.91,102.5,102.15,100.61,60,39,34,16,136.85,0.56,132.06,131.83,0.81
TXT,100.4,100.4,99.49,99.24,92.88,101.77,60,26,7,19,82.47,0.66,75.8,77.6,0.53
ECL,100.39,101.24,103.5,108.02,106.45,102.58,60,61,56,22,268.21,0.88,261.46,251.11,0.91
KMI,100.35,101.82,106.76,109.21,118.23,117.47,59,65,89,84,27.8,0.76,27.8,26.5,1.02
CINF,100.22,101.49,106.6,107.67,105.6,111.1,59,59,51,60,146.71,0.74,146.23,141.59,1.18
ADP,100.13,101.76,105.98,107.91,106.31,114.84,59,61,54,76,308.41,0.82,310.91,297.8,0.82
MMM,100.1,100.47,105.66,115.32,115.36,127.46,59,85,85,95,155.98,1.0,146.76,139.37,0.96
L,100.07,101.59,106.87,108.95,107.23,103.97,59,64,60,27,90.97,0.92,88.89,85.04,1.16
XYL,99.98,99.98,100.67,103.37,101.68,98.87,58,43,31,12,131.55,0.78,125.94,123.88,0.65
GWW,99.93,101.08,102.56,102.59,106.85,112.09,58,40,58,67,1045.29,0.47,1059.68,1062.37,1.24
EVRG,99.93,101.71,106.94,114.78,111.36,111.03,58,83,75,59,68.81,0.93,67.17,63.74,0.92
MKTX,99.93,101.74,105.56,105.92,96.06,121.22,58,55,12,91,219.28,0.3,220.65,230.91,0.74
NWSA,99.91,100.13,100.98,103.31,101.07,99.35,58,43,28,13,29.39,0.85,28.29,27.71,0.51
WM,99.83,102.28,107.94,113.5,109.5,99.24,58,80,69,13,225.75,0.67,232.06,220.76,1.09
DTE,99.78,102.29,110.37,116.66,111.14,112.59,57,87,74,68,131.42,0.79,133.77,126.52,1.49
FE,99.78,101.94,106.96,109.32,101.79,110.51,57,65,32,56,40.15,0.49,41.19,40.45,0.64
AMZN,99.77,99.77,98.97,100.61,113.91,109.49,57,31,82,50,222.54,0.76,207.05,206.2,0.88
FOX,99.69,100.97,104.79,117.47,118.72,112.61,57,89,90,68,50.61,0.84,49.82,46.4,0.51
EXC,99.67,102.68,111.66,122.53,116.93,111.74,57,95,87,64,43.14,0.72,43.72,41.1,0.67
CI,99.65,102.38,109.26,115.35,106.05,105.5,56,85,53,32,309.78,0.47,318.8,313.36,0.53
PAYX,99.64,101.91,107.57,110.38,109.23,112.28,56,70,68,67,145.94,0.7,151.56,144.53,1.15
KEY,99.58,99.58,98.01,96.88,106.72,111.76,56,18,57,64,18.46,0.87,16.2,16.5,1.27
MCO,99.56,99.56,100.19,101.73,101.61,107.4,56,37,31,39,502.22,0.82,479.38,473.69,0.71
MAR,99.52,99.52,98.57,97.26,109.78,111.03,56,19,70,59,279.19,0.75,263.22,264.35,0.59
DPZ,99.51,101.55,107.82,114.33,108.3,97.65,55,82,63,9,463.48,0.67,468.35,448.63,1.01
GPC,99.44,100.38,104.41,106.03,102.17,104.76,55,56,34,30,125.25,0.54,122.47,120.93,0.96
AMP,99.43,99.43,99.02,99.14,112.81,115.03,55,25,78,77,539.47,0.82,510.78,513.8,0.77
NOC,99.42,101.22,106.67,108.59,103.96,118.53,55,63,43,88,507.94,0.75,486.81,488.98,0.67
SO,99.42,101.31,106.9,113.07,107.42,111.57,55,79,61,64,91.96,0.98,89.66,87.1,0.61
KKR,99.4,99.4,97.21,91.82,114.61,118.11,54,6,84,86,139.22,0.63,123.75,133.59,0.77
O,99.38,100.98,104.92,109.79,104.05,113.57,54,68,44,72,56.92,0.57,56.4,55.63,1.06
NI,99.35,101.21,106.53,113.95,112.02,112.94,54,81,78,70,39.34,0.87,39.36,37.39,0.78
ISRG,99.33,99.86,100.17,104.31,109.04,107.62,54,48,67,40,528.13,0.58,537.08,530.19,0.89
BR,99.32,101.02,105.1,109.54,107.79,105.46,54,68,62,32,238.76,0.86,238.89,230.05,0.85
ORLY,99.2,101.52,109.17,117.03,113.63,109.11,53,88,81,48,92.58,0.87,90.89,85.93,0.76
VZ,99.16,101.45,109.08,114.96,108.4,104.38,53,84,64,28,42.61,0.64,43.22,41.7,1.41
WEC,99.12,101.49,109.1,116.75,112.94,117.06,53,88,79,83,104.22,0.86,105.66,100.29,0.9
D,99.1,100.4,103.82,106.11,103.12,112.85,53,56,38,69,57.15,0.85,55.33,54.65,0.48
KEYS,99.08,99.08,98.51,100.92,108.02,110.49,52,33,63,55,163.9,0.67,159.39,159.51,0.81
LMT,99.08,100.46,103.45,104.11,93.14,121.51,52,47,8,92,463.06,0.25,469.05,488.71,0.61
PTC,99.06,99.06,97.93,96.6,102.26,103.35,52,17,34,24,210.47,1.0,168.85,174.81,4.39
CDW,99.06,99.06,98.67,97.92,96.13,101.87,52,21,13,20,180.75,0.4,177.16,182.72,0.64
CSX,98.96,98.96,98.65,96.33,95.41,103.47,52,17,11,25,33.33,0.68,31.21,31.99,0.65
MTB,98.95,98.95,98.18,97.74,111.61,116.22,52,20,76,81,200.38,0.75,183.55,186.01,0.92
LIN,98.94,100.38,104.57,108.88,105.7,106.53,51,64,51,35,471.27,0.85,461.19,453.13,0.81
SYK,98.91,99.78,101.95,105.1,105.02,104.37,51,52,48,28,392.05,0.93,382.87,373.34,0.69
RJF,98.87,98.87,98.22,100.76,121.9,121.83,51,32,93,92,158.66,0.81,148.06,147.96,0.93
JKHY,98.85,100.72,105.28,107.59,103.59,107.33,51,59,41,38,179.76,0.66,179.18,176.04,0.56
J,98.8,98.87,98.87,98.5,103.69,109.09,51,23,42,48,134.2,0.66,126.84,129.42,0.66
SPGI,98.7,99.2,101.23,103.76,102.98,108.21,50,46,38,43,528.73,0.87,512.68,505.42,0.63
GM,98.7,98.76,101.38,102.08,108.64,108.75,50,38,65,45,52.57,0.65,48.72,49.44,0.52
ALGN,98.69,98.69,97.46,91.95,94.82,97.19,50,7,10,9,200.48,0.5,183.09,201.09,0.74
HRL,98.67,100.61,104.36,104.96,99.46,105.19,50,51,23,31,31.27,0.66,30.18,30.13,1.23
ED,98.64,101.87,112.64,120.79,111.79,112.52,50,94,77,68,99.97,0.52,103.39,99.59,0.94
ALL,98.56,100.46,108.8,110.89,106.47,113.99,49,73,56,74,194.09,0.68,200.57,194.27,0.66
SRE,98.54,99.27,99.5,98.7,103.12,106.81,49,24,38,36,74.49,0.39,75.35,78.67,1.3
FICO,98.52,100.23,103.76,107.59,111.41,120.84,49,59,75,91,1591.73,0.1,1874.93,1951.82,2.14
AJG,98.49,101.06,110.21,118.52,115.17,106.55,49,91,85,35,315.25,0.6,327.67,309.73,1.0
PGR,98.4,101.21,110.79,118.05,113.19,114.79,49,90,80,76,250.41,0.52,273.43,259.92,0.76
DUK,98.38,100.69,107.47,114.01,108.71,110.23,48,81,66,53,117.17,0.76,116.95,113.6,0.65
NTAP,98.37,98.37,96.5,89.48,97.31,94.22,48,5,15,6,106.67,0.55,100.05,108.52,0.56
INVH,98.36,100.62,107.33,111.61,103.58,99.79,48,75,41,14,32.27,0.4,33.38,32.62,0.78
INTC,98.34,98.58,104.96,113.94,108.54,92.93,48,81,65,5,23.44,0.32,21.14,21.8,0.87
TDY,98.33,98.79,102.95,109.21,108.82,109.03,48,65,66,47,519.86,1.0,493.83,479.93,0.66
ETR,98.32,100.43,107.32,118.06,118.12,117.7,47,91,89,85,81.46,0.84,82.42,77.66,0.81
