Ticker,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
UCL,77.32,79.12,82.74,105.84,106.16,87.91,10,59,59,6,1.05,0.03,1.23,1.48,0.97
RZLV,77.31,81.66,88.25,95.33,98.8,97.28,10,26,37,25,4.31,0.01,6.13,9.8,0.18
EL,77.29,79.18,80.32,77.71,100.89,109.94,10,6,44,61,64.59,0.01,86.82,115.69,1.23
CHRD,77.2,77.2,80.78,91.63,104.74,103.34,10,19,56,43,131.67,0.12,131.92,159.43,1.0
SINT,77.14,77.81,79.71,124.98,125.15,63.07,10,87,83,2,2.69,0.0,3.24,10.3,0.04
CRGO,77.14,77.14,72.66,75.73,84.34,109.7,10,5,7,60,2.62,0.6,1.44,2.08,9.67
TRSG,77.1,77.1,76.56,72.98,100.9,99.54,10,5,44,32,2.3,0.01,2.58,3.55,0.26
LYEL,77.09,77.09,76.4,86.9,128.55,124.56,10,13,85,80,1.21,0.16,1.22,1.86,0.81
ESTC,77.03,77.03,79.72,100.75,102.09,146.32,10,46,48,89,89.96,0.31,78.48,101.7,1.1
HUM,77.03,77.54,86.17,101.77,101.74,80.96,10,48,47,4,282.44,0.16,287.95,336.14,0.83
ATHE,77.03,77.03,75.54,86.77,112.82,160.13,10,13,73,91,1.19,0.02,1.25,1.7,0.58
OEC,76.97,76.97,78.73,88.79,99.49,101.08,10,15,39,36,17.82,0.21,16.61,21.12,2.26
CYN,76.97,76.97,80.86,83.53,91.25,126.29,10,10,14,81,5.01,0.05,3.75,9.5,0.62
POAI,76.96,76.96,84.7,85.82,74.25,95.03,10,12,3,20,0.8,0.08,0.77,1.54,0.42
SPCE,76.94,76.94,72.18,55.85,61.63,105.03,10,2,2,48,7.55,0.05,6.54,16.09,4.11
DYAI,76.91,77.24,78.02,99.93,118.54,97.03,10,43,79,25,1.05,0.05,1.13,1.45,1.1
TNGX,76.86,85.75,103.14,124.87,103.74,133.05,10,87,53,84,3.38,0.05,7.24,8.71,2.49
QXO,76.81,76.81,69.82,90.97,172.99,963.09,10,18,94,99,16.14,0.02,14.99,74.81,1.3
PCSA,76.77,78.56,83.28,95.85,100.17,102.15,10,30,42,40,1.1,0.0,1.3,1.81,0.2
PUBM,76.71,76.71,77.0,93.33,135.33,132.81,10,22,88,84,16.37,0.26,14.84,18.95,1.38
MOV,76.69,76.84,80.15,89.71,90.07,97.07,10,16,12,25,19.77,0.11,19.21,24.43,0.38
SHFS,76.66,80.94,89.96,92.57,84.53,149.43,10,20,7,90,0.34,0.0,0.49,0.69,2.01
IRIX,76.65,78.35,79.76,80.9,106.57,122.08,10,8,60,78,1.43,0.03,1.7,2.27,1.09
NE,76.64,76.64,82.28,91.85,98.97,96.04,10,19,38,23,35.96,0.24,34.61,42.19,0.97
CTHR,76.57,76.7,80.45,80.25,86.53,126.09,10,8,9,81,1.42,0.06,1.57,2.42,0.49
CIVI,76.57,76.57,80.25,89.77,105.23,102.46,10,16,57,41,52.2,0.13,52.41,64.84,1.61
GPRE,76.53,76.56,80.51,80.51,88.69,89.75,10,8,11,7,11.31,0.03,12.57,17.26,2.3
CXM,76.42,76.42,77.33,78.46,92.48,92.24,10,7,16,9,8.29,0.13,7.51,10.23,1.22
SLDP,76.42,76.45,84.41,103.81,118.21,121.55,10,54,78,77,1.16,0.0,1.27,1.58,1.63
PRME,76.39,76.39,73.62,96.17,98.65,111.13,10,31,37,63,4.39,0.16,3.87,5.6,1.56
NLSP,76.39,81.66,106.86,148.08,130.17,111.81,10,94,86,65,3.97,0.02,4.87,7.98,0.45
BDTX,76.34,78.22,100.66,116.07,180.12,183.11,10,79,94,94,3.38,0.27,4.04,4.9,0.29
VPG,76.32,76.36,81.52,90.29,100.52,102.33,10,17,43,40,22.48,0.02,24.18,30.26,0.86
GAME,76.3,76.3,76.64,85.49,106.43,107.05,10,11,60,54,1.03,0.24,0.82,1.22,2.04
