Ticker,Name,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
2233,宇隆,114.08,114.08,112.36,109.02,89.39,91.7,87,76,22,11,171.5,0.92,157.95,139.78,1.33
1336,台翰,113.96,114.83,115.02,111.28,89.61,97.63,87,78,23,42,24.55,0.59,24.56,21.76,0.61
2504,國產,113.76,114.62,114.62,112.24,130.1,121.36,87,79,90,89,52.3,0.87,52.85,43.84,0.35
1708,東鹼,113.7,114.0,114.0,110.43,94.98,97.24,87,78,42,40,39.9,0.78,39.67,34.45,0.26
6680,鑫創電子,113.51,113.51,112.33,107.59,91.32,91.89,87,74,30,11,92.5,0.73,89.19,79.56,0.06
2357,華碩,113.46,113.46,111.98,106.7,98.94,115.46,87,73,55,85,595.0,0.98,558.14,489.02,0.48
3048,益登,113.46,119.03,136.44,161.84,137.68,96.08,87,96,92,34,39.15,0.55,41.26,33.04,0.29
3147,大綜,113.45,115.08,115.38,112.55,129.63,127.77,87,80,90,92,140.0,0.72,151.22,130.57,0.26
3577,泓格,113.43,113.43,111.26,99.84,75.72,91.62,87,57,1,11,62.4,0.41,62.66,63.06,0.48
3354,律勝,113.34,113.34,108.84,98.16,142.32,145.93,87,52,94,96,28.05,0.74,25.39,23.47,0.5
1528,恩德,113.27,113.27,107.86,106.19,99.28,109.43,87,72,56,77,19.0,0.74,14.84,13.58,2.71
6855,數泓科,112.8,112.8,110.79,101.59,116.62,112.09,87,63,83,81,148.5,0.76,136.64,117.9,0.28
6768,志強-KY,112.72,112.72,109.7,105.28,111.11,99.52,87,70,77,51,113.5,0.94,96.55,85.36,0.7
6757,台灣虎航-創,112.66,115.59,129.09,142.66,140.53,107.93,87,94,93,75,60.5,0.71,58.48,46.49,0.53
00753L,中信中國50正2,112.52,112.52,108.89,101.03,105.22,86.07,87,61,69,3,9.65,0.48,8.47,7.6,0.73
