Ticker,Sector,Industry,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
WAB,Industrials,Railroads,117.1,118.98,117.86,115.66,128.81,115.35,91,80,91,80,183.11,0.99,168.14,153.97,0.25
ZBRA,Technology,Communication Equipment,116.53,116.64,116.56,114.38,117.23,98.04,91,77,83,36,371.04,0.99,345.87,305.11,0.25
FTNT,Technology,Software—Infrastructure,116.22,116.22,112.79,115.46,92.18,109.92,90,79,20,68,81.51,1.0,74.04,66.07,0.47
WMT,Consumer Defensive,Discount Stores,115.96,117.03,120.78,119.66,108.18,103.16,90,87,64,51,79.58,0.94,76.16,65.05,0.21
LMT,Industrials,Aerospace & Defense,115.74,120.26,118.6,116.06,94.96,90.74,90,81,26,18,599.58,0.96,570.56,484.27,0.26
PEG,Utilities,Utilities - Regulated Electric,115.52,122.33,122.43,112.64,108.54,94.2,90,73,65,26,88.71,0.91,83.46,71.44,0.2
AFL,Financial Services,Insurance - Life,115.06,119.58,118.93,120.28,105.19,101.51,90,88,56,46,111.43,0.9,107.44,90.76,0.23
CTAS,Industrials,Specialty Business Services,114.93,116.61,122.72,122.72,114.08,113.1,89,89,78,74,206.59,0.97,199.13,173.74,0.34
TYL,Technology,Software—Application,114.71,117.56,123.92,124.33,107.44,105.87,89,91,61,59,585.26,0.96,580.75,487.31,0.16
GLW,Technology,Electronic Components,114.48,116.6,117.27,126.65,119.42,92.09,89,92,84,21,46.15,0.97,42.15,36.59,0.38
RL,Consumer Cyclical,Apparel Manufacturing,114.37,114.37,113.19,110.65,121.4,137.12,89,68,86,94,198.16,1.0,177.08,170.93,0.2
DHI,Consumer Cyclical,Residential Construction,114.27,125.29,126.3,124.85,107.85,131.12,89,91,62,92,183.99,0.86,185.08,158.76,0.36
WELL,Real Estate,REIT - Healthcare Facilities,114.25,118.83,124.57,124.57,108.0,103.66,88,91,64,52,122.5,0.85,122.26,102.65,0.24
HIG,Financial Services,Insurance - Property & Casualty,114.07,115.79,119.42,119.82,116.65,117.95,88,87,82,83,115.96,0.96,113.62,100.92,0.25
UHS,Healthcare,Medical Care Facilities,114.04,118.24,129.71,134.04,114.4,114.39,88,95,79,77,211.67,0.75,227.01,186.78,0.29
NVR,Consumer Cyclical,Residential Construction,114.03,120.15,122.58,117.69,111.4,114.96,88,84,72,79,9564.0,0.93,9136.74,7992.93,0.18
DECK,Consumer Cyclical,Footwear & Accessories,113.84,117.39,110.72,121.35,150.61,148.35,88,88,96,96,158.09,0.76,154.46,148.2,0.23
BSX,Healthcare,Medical Devices,113.79,115.92,116.2,116.18,119.31,111.45,87,81,84,70,85.83,0.98,80.82,72.42,0.26
VTR,Real Estate,REIT—Healthcare Facilities,113.75,117.19,126.24,126.04,100.97,96.87,87,92,44,33,61.43,0.84,61.45,50.81,0.11
RMD,Healthcare,Medical Instruments & Supplies,113.72,119.43,125.76,125.6,107.41,93.01,87,92,61,23,237.49,0.87,235.4,204.23,0.15
PYPL,Financial Services,Credit Services,113.67,117.56,114.77,105.39,97.37,89.21,87,52,36,13,79.01,0.92,71.91,64.58,0.57
SYF,Financial Services,Credit Services,113.58,114.95,112.53,123.62,123.16,113.19,87,90,87,74,51.94,0.99,48.2,44.11,0.22
PNR,Industrials,Specialty Industrial Machinery,113.24,116.49,116.09,108.91,112.12,113.22,86,63,74,74,96.3,0.96,89.38,81.17,0.61
GL,Financial Services,Insurance - Life,113.2,113.2,97.08,97.78,79.54,95.0,86,29,3,28,106.37,0.72,101.29,100.74,0.11
HCA,Healthcare,Medical Care Facilities,113.18,117.56,121.35,118.55,107.02,108.33,86,85,60,64,386.48,0.89,385.73,333.78,0.33
CHRW,Industrials,Integrated Freight & Logistics,113.1,114.47,116.11,113.38,96.03,85.09,86,75,30,7,107.69,0.94,102.79,86.11,0.23
FIS,Technology,Information Technology Services,113.06,113.42,113.5,113.5,116.64,111.89,86,76,82,71,86.18,1.0,81.39,73.04,0.37
TMUS,Communication Services,Telecom Services,112.95,113.62,112.77,115.25,106.97,102.6,85,79,60,48,211.31,0.99,199.65,175.27,0.31
ACGL,Financial Services,Insurance - Diversified,112.86,112.92,116.03,114.57,113.43,108.9,85,78,77,66,113.23,0.96,108.27,95.67,0.34
PH,Industrials,Specialty Industrial Machinery,112.83,116.36,116.61,109.67,123.79,123.13,85,66,88,88,631.05,0.98,592.04,540.09,0.15
WMB,Energy,Oil & Gas Midstream,112.58,114.39,110.12,109.15,107.9,101.92,85,64,63,47,49.47,0.99,45.21,40.19,0.26
ISRG,Healthcare,Medical Instruments & Supplies,112.15,115.18,121.97,123.73,112.11,120.03,85,90,73,85,486.64,0.97,478.86,415.75,0.31
NEM,Basic Materials,Gold,111.65,116.23,124.4,122.46,106.66,81.88,84,89,59,4,53.08,0.89,51.8,42.26,0.35
BXP,Real Estate,REIT - Office,111.6,115.07,114.87,109.99,96.96,110.16,84,66,33,68,81.98,0.98,75.38,67.01,0.46
KMI,Energy,Oil & Gas Midstream,111.54,112.72,111.28,109.16,101.17,91.67,84,64,44,20,23.69,1.0,21.61,19.36,0.7
NCLH,Consumer Cyclical,Travel Services,111.41,111.41,99.89,98.22,108.82,109.81,84,30,65,67,23.28,1.0,18.28,18.13,0.6
FITB,Financial Services,Banks—Regional,111.15,113.28,114.89,118.62,120.82,114.82,84,85,85,78,42.59,0.95,41.48,37.52,0.25
HAS,Consumer Cyclical,Leisure,111.06,114.83,112.97,108.11,109.94,90.69,83,61,68,17,72.23,0.98,68.33,58.9,0.22
BRO,Financial Services,Insurance Brokers,110.92,115.06,115.18,118.2,108.21,111.13,83,85,64,70,103.38,0.94,102.72,89.29,0.23
FOXA,Communication Services,Entertainment,110.86,114.73,115.87,117.21,101.78,88.37,83,84,47,11,41.33,0.93,40.41,34.24,0.14
CCL,Consumer Cyclical,Travel Services,110.84,110.84,102.24,111.4,102.26,131.25,83,70,49,92,20.39,1.0,16.78,16.36,0.67
MTB,Financial Services,Banks - Regional,110.83,112.67,113.25,111.84,107.96,98.24,83,71,64,37,178.34,0.98,169.3,151.15,0.21
FFIV,Technology,Software - Infrastructure,110.71,111.78,113.24,106.4,104.01,109.77,82,55,53,67,221.22,0.97,205.28,185.77,0.2
MAS,Industrials,Building Products & Equipment,110.57,114.81,114.81,108.17,112.17,118.44,82,61,74,83,83.53,0.99,79.1,73.11,0.25
FOX,Communication Services,Entertainment,110.18,113.7,115.29,117.42,102.41,88.67,82,84,50,12,38.1,0.93,37.43,31.67,0.15
PODD,Healthcare,Medical Devices,110.13,112.25,112.99,109.64,94.88,92.1,82,65,26,21,231.18,0.93,213.36,192.98,0.24
SHW,Basic Materials,Specialty Chemicals,110.11,112.2,112.95,112.95,105.46,113.59,82,75,57,75,376.12,0.95,364.99,327.55,0.22
GS,Financial Services,Capital Markets,110.03,110.03,110.76,118.88,116.12,103.32,81,86,81,52,503.26,0.97,491.92,440.6,0.27
CMI,Industrials,Specialty Industrial Machinery,109.85,113.19,112.09,107.24,112.08,110.2,81,58,73,68,332.34,0.99,307.28,281.4,0.2
GNRC,Industrials,Specialty Industrial Machinery,109.84,121.54,112.55,114.15,116.48,104.06,81,77,82,54,166.32,0.92,150.08,136.0,0.83
COST,Consumer Defensive,Discount Stores,109.74,111.21,116.05,119.07,121.34,121.78,81,87,85,86,894.26,0.94,879.96,790.0,0.46
GEN,Technology,Software - Infrastructure,109.72,110.97,108.2,117.98,113.48,113.37,81,84,77,75,27.66,1.0,26.11,23.74,0.19
NEE,Utilities,Utilities - Regulated Electric,109.61,116.86,118.92,111.6,116.05,87.65,80,71,81,10,80.83,0.86,81.07,69.71,0.41
ALL,Financial Services,Insurance—Property & Casualty,109.59,113.27,119.2,119.13,121.35,122.66,80,87,86,87,186.01,0.91,183.82,167.77,0.36
BLDR,Industrials,Building Products & Equipment,109.37,119.54,119.54,101.84,129.89,154.99,80,40,91,97,192.23,0.82,176.38,174.03,0.3
TDG,Industrials,Aerospace & Defense,109.32,115.7,116.38,108.28,123.58,120.91,80,62,87,86,1368.54,0.88,1333.31,1239.27,0.17
BLK,Financial Services,Asset Management,109.32,111.0,111.0,105.56,99.69,104.3,80,53,41,54,958.78,1.0,895.8,821.96,0.36
T,Communication Services,Telecom Services,109.3,112.55,118.53,116.32,101.3,95.21,79,82,45,28,21.26,0.87,20.66,18.26,0.44
CAT,Industrials,Farm & Heavy Construction Machinery,109.12,112.78,109.71,104.2,124.85,125.71,79,49,88,90,396.27,0.99,355.32,338.91,0.24
TSCO,Consumer Cyclical,Specialty Retail,109.09,112.28,110.69,106.34,112.16,103.1,79,55,74,51,299.38,0.96,274.49,259.71,0.23
NTAP,Technology,Computer Hardware,108.92,110.07,107.47,129.24,130.93,118.54,79,93,92,84,125.34,0.85,122.91,110.28,0.27
ETR,Utilities,Utilities - Regulated Electric,108.75,114.91,115.46,108.28,100.36,92.14,79,62,43,21,128.78,0.9,123.74,109.87,0.2
DFS,Financial Services,Credit Services,108.74,110.92,112.2,118.68,116.59,115.52,78,85,82,80,143.26,0.97,134.37,125.15,0.28
HUBB,Industrials,Electrical Equipment & Parts,108.73,110.07,105.98,101.73,121.24,120.98,78,39,85,86,442.07,0.96,397.56,380.92,0.55
OKE,Energy,Oil & Gas Midstream,108.73,111.66,113.89,113.96,108.72,104.71,78,76,65,56,95.04,0.99,89.91,80.45,0.16
DELL,Technology,Computer Hardware,108.58,108.58,111.97,152.5,230.43,192.72,78,98,99,98,124.24,0.52,110.85,114.25,0.25
JCI,Industrials,Building Products & Equipment,108.53,109.16,110.72,105.52,111.27,97.42,78,53,71,35,77.11,0.98,71.83,65.63,0.17
STX,Technology,Computer Hardware,108.41,111.07,111.07,126.45,121.65,126.39,78,92,86,90,108.45,0.95,102.2,95.0,0.28
PKG,Consumer Cyclical,Packaging & Containers,108.3,109.52,111.0,109.5,108.29,108.62,77,65,64,65,215.77,0.99,205.9,185.64,0.19
AMP,Financial Services,Asset Management,108.23,108.25,106.93,104.15,109.54,109.22,77,48,68,66,492.81,1.0,443.16,422.47,0.19
CFG,Financial Services,Banks - Regional,108.14,111.57,113.95,123.59,113.39,103.55,77,90,77,52,41.31,0.91,40.84,36.22,0.29
BBY,Consumer Cyclical,Specialty Retail,108.14,111.63,114.66,113.55,106.0,94.39,77,76,58,26,97.83,0.86,93.25,82.57,0.29
BX,Financial Services,Asset Management,107.89,111.42,114.69,110.91,108.91,118.79,77,69,66,84,149.93,0.86,143.22,129.91,0.24
LLY,Healthcare,Drug Manufacturers - General,107.79,109.49,116.72,132.55,134.72,143.32,76,94,94,94,913.02,0.88,905.79,804.27,0.23
PM,Consumer Defensive,Tobacco,107.7,108.94,117.58,119.02,99.44,87.54,76,86,40,10,119.88,0.81,120.68,102.76,0.27
NDAQ,Financial Services,Financial Data & Stock Exchanges,107.41,112.97,115.13,116.49,102.6,102.6,76,82,50,48,71.8,0.91,71.13,62.62,0.34
SPG,Real Estate,REIT—Retail,107.31,109.78,109.78,110.02,106.56,115.55,76,66,59,81,167.7,0.96,163.21,151.4,0.12
LEN,Consumer Cyclical,Residential Construction,107.25,118.53,118.53,116.54,111.64,125.19,76,82,73,90,179.27,0.85,179.75,162.56,0.27
KLAC,Technology,Semiconductor Equipment & Materials,107.05,108.3,109.74,134.26,134.74,128.66,75,95,94,91,796.93,0.78,768.29,722.7,0.15
LOW,Consumer Cyclical,Home Improvement Retail,106.97,109.99,109.99,100.95,98.32,102.97,75,37,38,50,274.21,0.97,251.97,234.81,0.33
HLT,Consumer Cyclical,Lodging,106.9,107.89,107.15,108.96,113.78,117.69,75,64,78,83,236.32,0.99,218.53,206.91,0.19
IFF,Basic Materials,Specialty Chemicals,106.83,109.35,112.49,113.96,114.33,95.43,75,76,79,29,102.45,0.94,101.09,90.97,0.15
UBER,Technology,Software - Application,106.74,108.44,107.42,110.87,142.55,161.01,75,69,95,97,77.9,0.91,71.86,70.57,0.57
PANW,Technology,Software - Infrastructure,106.7,106.7,109.04,115.01,113.64,155.24,74,78,78,97,368.53,0.94,339.89,317.94,0.38
EMN,Basic Materials,Specialty Chemicals,106.68,107.34,109.19,105.07,109.35,105.44,74,51,68,58,110.4,0.92,102.42,96.28,0.17
KEY,Financial Services,Banks - Regional,106.46,109.92,114.03,114.87,116.59,112.41,74,78,82,72,16.68,0.91,16.21,15.01,0.2
ETN,Industrials,Specialty Industrial Machinery,106.41,108.98,107.09,112.99,139.08,137.64,74,75,95,94,336.59,0.97,306.33,300.98,0.2
ICE,Financial Services,Financial Data & Stock Exchanges,105.9,110.93,116.11,116.3,102.24,108.78,74,82,49,65,160.11,0.95,158.72,141.19,0.19
MKTX,Financial Services,Capital Markets,105.86,108.77,108.77,108.18,81.35,90.2,73,62,4,16,275.33,0.8,248.75,228.68,0.35
MCO,Financial Services,Financial Data & Stock Exchanges,105.84,107.16,115.05,115.05,103.89,109.06,73,79,52,66,469.94,0.87,473.37,417.74,0.2
SO,Utilities,Utilities—Regulated Electric,105.82,110.1,112.43,112.77,103.95,91.78,73,74,53,20,88.36,0.88,88.32,77.25,0.19
ECL,Basic Materials,Specialty Chemicals,105.81,105.81,106.61,110.99,112.54,112.39,73,69,75,72,255.51,1.0,247.3,229.83,0.31
RF,Financial Services,Banks—Regional,105.8,105.8,110.42,111.88,101.68,96.73,73,72,46,33,23.01,0.96,22.23,20.17,0.23
MET,Financial Services,Insurance - Life,105.77,108.09,105.15,102.36,104.28,102.73,72,41,55,49,84.02,0.98,76.53,72.3,0.34
APD,Basic Materials,Specialty Chemicals,105.75,106.3,100.1,100.33,93.24,80.49,72,36,22,3,315.9,1.0,284.26,259.66,1.18
CBOE,Financial Services,Financial Data & Stock Exchanges,105.74,108.02,113.02,112.43,102.61,117.3,72,73,50,82,205.86,0.85,206.64,186.94,0.2
PNC,Financial Services,Banks - Regional,105.65,107.35,113.76,116.22,107.86,105.55,72,81,62,58,182.84,0.94,178.12,161.25,0.18
NI,Utilities,Utilities - Regulated Gas,105.63,112.8,113.65,111.43,97.72,89.38,72,70,36,13,33.67,0.89,33.11,29.02,0.13
EFX,Industrials,Consulting Services,105.44,113.58,117.52,121.97,101.54,113.01,71,89,46,73,283.99,0.84,293.66,259.48,0.25
STT,Financial Services,Asset Management,105.38,105.38,107.54,104.97,96.16,96.28,71,50,31,31,89.33,1.0,84.18,77.54,0.31
COF,Financial Services,Credit Services,105.36,107.37,105.39,108.55,120.3,119.89,71,63,85,84,151.69,0.97,142.84,139.67,0.22
ALLE,Industrials,Security & Protection Services,105.35,109.99,109.8,106.56,100.23,105.31,71,56,42,57,144.38,0.96,137.79,128.59,0.33
HD,Consumer Cyclical,Home Improvement Retail,105.25,109.16,109.16,98.89,95.76,106.56,71,32,29,59,411.95,0.97,377.04,359.01,0.45
GWW,Industrials,Industrial Distribution,105.17,106.08,106.63,104.79,114.25,119.76,70,50,79,84,1030.84,0.96,990.66,948.13,0.3
IT,Technology,Information Technology Services,105.05,106.28,106.55,110.29,108.91,122.36,70,67,66,87,518.07,0.99,494.5,463.8,0.27
LYV,Communication Services,Entertainment,105.03,105.03,104.68,97.69,104.7,109.39,70,28,55,66,113.36,1.0,99.65,95.87,0.3
DAL,Industrials,Airlines,104.84,104.84,103.29,93.15,124.6,104.41,70,19,88,55,50.49,0.88,43.94,45.02,1.31
CB,Financial Services,Insurance - Property & Casualty,104.62,106.96,108.76,110.28,109.18,107.54,70,67,67,63,283.79,0.9,281.57,259.52,0.24
SPGI,Financial Services,Financial Data & Stock Exchanges,104.35,106.97,111.85,111.85,96.09,107.9,69,72,30,63,515.18,0.93,506.57,455.07,0.23
CPAY,Technology,Software—Infrastructure,104.33,106.96,104.19,107.25,108.07,114.58,69,58,64,78,337.48,1.0,303.48,289.4,0.17
IP,Consumer Cyclical,Packaging & Containers,104.27,107.99,113.49,118.88,119.19,100.62,69,86,84,43,46.79,0.82,47.57,41.41,0.26
SWK,Industrials,Tools & Accessories,104.2,110.84,111.55,102.56,92.7,103.75,69,42,21,53,106.62,0.89,101.38,92.83,0.19
BKNG,Consumer Cyclical,Travel Services,104.1,104.93,102.78,105.73,107.88,117.45,69,54,63,83,4297.91,1.0,3862.09,3718.98,0.22
GRMN,Technology,Scientific & Technical Instruments,104.08,109.42,119.91,129.07,135.35,115.19,68,93,94,80,164.63,0.78,173.56,154.39,0.31
ADP,Technology,Software - Application,103.99,105.05,105.05,103.33,94.54,96.51,68,44,25,32,285.94,0.98,272.74,251.56,0.17
PSA,Real Estate,REIT - Industrial,103.92,109.21,116.64,116.64,91.12,93.14,68,83,18,24,342.6,0.82,340.82,298.27,0.27
UNH,Healthcare,Healthcare Plans,103.72,104.79,107.71,109.09,90.98,96.07,68,64,17,31,595.49,0.95,583.05,524.47,0.3
EIX,Utilities,Utilities—Regulated Electric,103.65,109.55,111.19,112.74,101.22,94.97,68,73,45,27,83.46,0.84,84.81,74.54,0.21
WTW,Financial Services,Insurance Brokers,103.63,105.62,107.89,109.24,102.14,105.13,67,64,49,57,291.61,0.91,287.55,267.61,0.43
IR,Industrials,Specialty Industrial Machinery,103.59,108.55,107.84,114.16,125.66,122.87,67,77,89,88,98.77,0.94,92.57,90.31,0.27
ABBV,Healthcare,Drug Manufacturers - General,103.57,105.79,110.41,112.68,97.13,107.14,67,73,34,61,193.84,0.91,193.85,175.36,0.21
HBAN,Financial Services,Banks - Regional,103.53,103.68,107.66,108.27,110.89,104.02,67,62,70,54,14.89,0.95,14.3,13.57,0.37
KIM,Real Estate,REIT—Retail,103.48,106.64,112.22,110.59,90.52,98.37,67,68,17,38,22.77,0.83,22.86,20.38,0.2
CINF,Financial Services,Insurance - Property & Casualty,103.43,107.86,111.68,112.3,102.07,101.7,66,72,48,46,134.43,0.9,133.57,120.21,0.3
EXPE,Consumer Cyclical,Travel Services,103.41,106.11,104.98,103.89,104.09,133.88,66,47,53,93,150.83,0.87,136.63,133.64,0.23
CMS,Utilities,Utilities - Regulated Electric,103.33,108.26,109.5,106.01,96.85,89.79,66,54,32,15,69.02,0.88,68.34,61.71,0.22
TPR,Consumer Cyclical,Luxury Goods,103.32,108.87,108.91,99.54,101.33,117.75,66,34,45,83,44.57,0.82,41.89,42.02,0.21
ATO,Utilities,Utilities—Regulated Gas,103.3,107.49,108.01,106.29,93.5,91.25,66,55,23,19,137.83,0.94,133.2,120.67,0.15
COO,Healthcare,Medical Instruments & Supplies,103.27,106.97,108.04,105.24,92.98,101.22,65,51,21,45,106.25,0.86,102.23,96.22,0.16
TRV,Financial Services,Insurance—Property & Casualty,103.12,105.03,110.6,111.53,111.58,111.16,65,71,72,70,232.34,0.88,227.01,216.5,0.32
APH,Technology,Electronic Components,103.06,103.06,105.39,122.13,131.23,114.9,65,89,92,79,64.89,0.82,63.9,60.13,0.18
GM,Consumer Cyclical,Auto Manufacturers,102.92,103.46,108.24,117.68,120.96,108.23,65,84,85,64,47.78,0.91,46.01,43.43,0.33
CMG,Consumer Cyclical,Restaurants,102.92,103.15,100.1,106.02,136.3,129.32,65,55,95,92,58.18,0.68,55.42,56.1,0.16
WAT,Healthcare,Diagnostics & Research,102.9,105.91,105.57,105.59,109.2,108.8,64,54,67,66,354.98,0.95,340.05,325.8,0.13
ORLY,Consumer Cyclical,Specialty Retail,102.88,103.54,102.95,103.41,102.89,107.58,64,45,50,63,1173.62,0.99,1132.54,1064.56,0.22
CL,Consumer Defensive,Household & Personal Products,102.87,103.96,113.83,117.1,106.58,101.33,64,83,59,45,99.81,0.78,103.52,93.12,0.29
HPQ,Technology,Computer Hardware,102.7,102.7,104.41,115.7,115.99,93.51,64,80,81,24,36.76,0.87,34.82,32.29,0.26
CAH,Healthcare,Medical Distribution,102.65,102.65,102.03,102.03,104.17,110.58,64,40,54,69,114.5,0.95,109.34,104.96,0.27
AIZ,Financial Services,Insurance - Property & Casualty,102.57,106.04,107.44,106.83,109.95,112.45,64,57,69,72,191.12,0.84,189.99,177.19,0.23
JPM,Financial Services,Banks—Diversified,102.53,102.53,106.84,112.08,112.98,113.25,63,72,76,74,212.12,0.86,210.97,195.8,0.34
MS,Financial Services,Capital Markets,102.49,102.49,99.95,105.84,105.59,96.66,63,54,57,33,108.04,0.97,100.69,95.21,0.27
LHX,Industrials,Aerospace & Defense,102.48,105.08,104.84,107.28,104.1,98.28,63,59,53,37,242.25,0.96,232.65,219.93,0.33
PPL,Utilities,Utilities—Regulated Electric,102.38,108.49,110.33,109.33,100.12,92.29,63,65,42,22,31.44,0.81,31.82,28.58,0.45
AMCR,Consumer Cyclical,Packaging & Containers,102.3,104.53,105.12,104.92,97.3,87.14,63,50,35,9,11.1,0.89,10.98,9.95,0.24
NOC,Industrials,Aerospace & Defense,102.17,107.21,106.2,105.14,96.17,90.95,62,51,31,18,526.28,0.85,516.48,471.72,0.16
CPT,Real Estate,REIT - Residential,102.1,105.75,109.97,112.9,96.75,87.36,62,74,32,10,119.06,0.82,122.01,106.71,0.18
PAYX,Technology,Software - Application,101.92,104.04,105.38,98.81,93.8,93.97,62,31,24,25,139.13,0.95,131.26,124.1,0.2
TFC,Financial Services,Banks - Regional,101.88,105.08,110.41,114.65,110.88,102.03,62,78,70,47,42.49,0.86,42.41,39.0,0.3
J,Industrials,Engineering & Construction,101.79,106.98,106.87,97.43,102.97,104.38,62,27,51,54,136.67,0.91,124.83,120.02,0.2
WRB,Financial Services,Insurance - Property & Casualty,101.72,101.72,105.97,108.28,111.04,115.3,61,62,71,80,57.92,0.86,57.59,54.58,0.25
