Ticker,Sector,Industry,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
NVDA,Technology,Semiconductors,108.45,109.25,120.21,138.39,148.4,148.0,78,99,98,99,134.8,0.99,118.3,98.23,0.52
BLK,Financial Services,Asset Management,108.43,108.43,107.49,102.79,99.12,110.89,77,57,29,78,990.26,1.0,898.23,822.86,1.9
MCO,Financial Services,Financial Data & Stock Exchanges,108.34,109.2,110.1,109.42,100.64,108.1,77,86,37,67,475.11,0.9,473.65,418.17,0.69
ATO,Utilities,Utilities - Regulated Gas,108.34,108.34,107.54,103.11,96.42,97.51,77,59,19,18,139.36,0.99,133.4,120.78,0.61
RVTY,Healthcare,Diagnostics & Research,108.31,108.31,107.89,103.66,97.46,102.14,77,62,22,40,121.51,0.86,121.38,110.71,0.92
CLX,Consumer Defensive,Household & Personal Products,108.28,108.28,107.05,100.32,98.97,108.11,77,44,28,67,160.3,0.87,157.08,146.08,0.71
MAA,Real Estate,REIT - Residential,108.25,108.58,108.75,107.31,99.74,93.96,76,79,33,9,153.41,0.73,157.66,139.51,0.6
XEL,Utilities,Utilities - Regulated Electric,108.24,108.24,107.26,101.24,93.27,99.86,76,48,9,27,62.31,0.82,62.03,57.32,0.87
NEE,Utilities,Utilities - Regulated Electric,108.22,108.36,108.31,112.77,115.62,105.8,76,91,92,57,81.86,0.89,81.14,69.82,0.85
SO,Utilities,Utilities - Regulated Electric,108.21,108.29,108.08,106.12,104.62,100.82,76,74,63,31,88.96,0.9,88.35,77.35,0.7
O,Real Estate,REIT - Retail,108.21,108.3,107.98,104.18,95.12,103.79,76,64,14,47,61.75,0.9,61.62,56.04,0.6
PKG,Consumer Cyclical,Packaging & Containers,108.13,108.13,106.94,103.07,102.1,101.01,75,58,48,32,217.95,1.0,206.31,185.92,0.73
MSCI,Financial Services,Financial Data & Stock Exchanges,108.04,108.04,106.42,101.87,95.26,99.66,75,52,15,26,605.59,1.0,565.24,536.44,0.59
GE,Industrials,Aerospace & Defense,108.03,108.03,106.96,118.67,132.91,120.41,75,96,97,93,191.16,1.0,175.33,150.41,0.69
CINF,Financial Services,Insurance - Property & Casualty,108.02,108.08,107.9,104.21,102.17,101.65,75,64,48,37,136.39,0.94,133.71,120.38,1.02
HIG,Financial Services,Insurance - Property & Casualty,107.97,107.97,107.31,104.36,110.84,110.6,75,64,82,77,117.36,0.98,113.78,101.11,0.86
TT,Industrials,Building Products & Equipment,107.91,107.91,106.97,109.35,113.54,111.55,74,85,88,80,399.86,1.0,360.9,315.27,0.64
LOW,Consumer Cyclical,Home Improvement Retail,107.87,107.87,106.27,99.93,102.63,102.86,74,42,52,43,275.76,0.98,252.64,235.07,0.58
CCI,Real Estate,REIT - Specialty,107.84,108.21,107.93,102.33,89.94,109.0,74,54,4,70,110.81,0.73,113.89,106.27,0.54
DOC,Real Estate,REIT - Healthcare Facilities,107.78,108.35,108.3,106.42,102.34,101.95,74,75,50,38,21.67,0.84,22.04,19.75,0.74
IP,Consumer Cyclical,Packaging & Containers,107.69,107.9,109.52,113.93,109.71,97.21,74,93,79,17,48.19,0.9,47.61,41.47,1.18
EXPE,Consumer Cyclical,Travel Services,107.59,107.59,106.38,101.97,95.97,130.42,73,52,18,97,150.5,0.86,137.21,133.63,0.72
AEP,Utilities,Utilities - Regulated Electric,107.55,107.91,107.82,104.74,102.27,102.8,73,67,49,43,98.25,0.79,100.26,89.27,0.66
CMS,Utilities,Utilities - Regulated Electric,107.47,107.47,106.63,101.59,99.89,101.37,73,50,34,35,69.34,0.9,68.4,61.77,1.1
COO,Healthcare,Medical Instruments & Supplies,107.37,107.37,105.6,96.99,102.02,106.76,73,29,47,63,106.74,0.87,102.48,96.28,0.82
VICI,Real Estate,REIT - Diversified,107.33,107.54,107.12,102.76,92.14,99.9,73,57,7,27,32.55,0.78,32.68,30.27,0.73
MKC,Consumer Defensive,Packaged Foods,107.31,107.33,107.09,101.61,103.62,104.85,72,50,57,53,80.18,0.82,80.64,73.25,0.87
PPL,Utilities,Utilities - Regulated Electric,107.28,107.28,106.74,102.42,100.75,104.93,72,55,38,54,31.71,0.84,31.85,28.61,0.82
ALL,Financial Services,Insurance - Property & Casualty,107.27,107.27,106.62,101.19,107.51,113.28,72,47,72,84,188.28,0.94,184.03,168.02,0.84
KMI,Energy,Oil & Gas Midstream,107.09,107.09,105.77,104.77,103.43,97.84,72,67,56,20,24.7,1.0,21.68,19.4,1.72
CEG,Utilities,Utilities - Renewable,107.05,107.05,103.84,125.13,144.55,123.59,72,98,98,95,266.22,0.89,213.02,185.12,1.24
OKE,Energy,Oil & Gas Midstream,107.03,107.03,106.36,103.12,105.5,99.66,71,59,66,26,96.61,1.0,90.19,80.58,1.44
DVA,Healthcare,Medical Care Facilities,106.97,106.97,106.23,105.94,119.41,125.29,71,73,94,96,160.85,0.95,153.96,136.01,0.54
DUK,Utilities,Utilities - Regulated Electric,106.81,107.15,107.15,104.39,100.78,101.05,71,65,39,32,114.17,0.89,114.38,102.62,1.0
TFX,Healthcare,Medical Instruments & Supplies,106.73,107.25,107.25,102.8,92.45,115.67,71,57,8,88,236.03,0.74,240.01,227.61,0.6
CPAY,Technology,Software - Infrastructure,106.64,106.64,104.93,98.79,102.43,104.06,71,38,51,48,339.32,1.0,304.53,289.69,0.61
MO,Consumer Defensive,Tobacco,106.64,107.34,107.97,107.43,102.21,93.45,71,80,48,7,49.84,0.68,51.5,45.65,0.56
AXP,Financial Services,Credit Services,106.57,106.57,105.8,103.96,114.43,114.89,70,63,90,87,276.16,1.0,255.91,230.91,0.65
AMCR,Consumer Cyclical,Packaging & Containers,106.53,106.53,105.85,103.18,100.11,102.6,70,60,35,42,11.19,0.92,10.99,9.96,0.62
ADP,Technology,Software - Application,106.51,106.51,104.76,100.34,96.17,94.83,70,44,18,11,288.36,1.0,273.3,251.85,0.64
ES,Utilities,Utilities - Regulated Electric,106.49,106.8,106.71,102.84,98.61,102.96,70,58,27,44,63.82,0.71,66.42,60.74,0.82
GNRC,Industrials,Specialty Industrial Machinery,106.38,106.38,105.12,109.36,112.72,111.63,69,85,87,80,173.59,1.0,150.64,136.21,1.39
CMI,Industrials,Specialty Industrial Machinery,106.35,106.35,104.71,99.81,110.7,106.03,69,41,82,58,336.07,1.0,307.88,281.88,0.61
EVRG,Utilities,Utilities - Regulated Electric,106.27,106.38,106.19,102.36,99.3,99.31,69,55,30,25,59.34,0.81,59.95,54.45,0.52
NRG,Utilities,Utilities - Independent Power Producers,106.25,106.25,104.99,122.02,134.28,115.82,69,97,98,89,89.75,0.9,83.35,71.89,0.93
D,Utilities,Utilities - Regulated Electric,106.23,106.33,105.93,101.28,104.85,105.4,68,48,64,55,56.22,0.88,56.65,51.06,0.96
ADSK,Technology,Software - Application,106.23,106.23,105.93,104.87,101.88,106.67,68,68,46,62,281.67,1.0,258.11,244.44,0.96
TFC,Financial Services,Banks - Regional,106.23,106.73,107.1,105.65,101.87,112.99,68,71,46,84,43.26,0.91,42.4,39.03,2.12
WMB,Energy,Oil & Gas Midstream,106.2,106.2,104.99,104.86,105.81,96.39,68,67,67,14,50.48,1.0,45.36,40.26,1.7
AVB,Real Estate,REIT - Residential,106.2,106.48,106.74,105.59,103.01,96.64,68,70,54,15,219.62,0.79,221.52,197.59,0.59
AJG,Financial Services,Insurance Brokers,106.19,106.44,107.65,107.19,98.84,95.32,68,78,28,12,287.91,0.85,287.95,258.05,0.89
IT,Technology,Information Technology Services,106.16,106.16,105.2,101.55,101.09,114.78,67,50,40,87,521.22,1.0,495.07,464.18,0.92
ACGL,Financial Services,Insurance - Diversified,106.07,106.07,105.03,105.6,108.43,100.11,67,70,75,29,114.4,0.99,108.63,95.88,1.01
ACN,Technology,Information Technology Services,106.02,106.02,104.44,99.2,97.21,104.81,67,39,21,53,360.74,0.75,339.6,334.35,0.64
HD,Consumer Cyclical,Home Improvement Retail,105.92,105.92,104.53,99.78,102.08,107.33,67,41,47,64,411.9,0.97,378.06,359.31,0.81
KO,Consumer Defensive,Beverages - Non-Alcoholic,105.91,105.91,105.79,103.9,98.74,103.65,67,63,27,46,69.57,0.83,70.45,63.76,0.63
APD,Basic Materials,Specialty Chemicals,105.89,105.89,103.72,103.8,100.55,91.53,66,62,37,5,316.66,1.0,284.82,259.86,0.63
AIZ,Financial Services,Insurance - Property & Casualty,105.88,105.88,105.01,99.02,99.37,105.4,66,38,31,55,191.89,0.85,190.32,177.31,1.06
GEN,Technology,Software - Infrastructure,105.86,105.86,105.56,110.58,103.6,117.62,66,88,57,92,27.75,1.0,26.16,23.76,0.68
UDR,Real Estate,REIT - Residential,105.81,105.93,105.93,104.45,101.79,96.06,66,65,45,13,43.72,0.78,43.96,39.65,1.06
AAPL,Technology,Consumer Electronics,105.77,107.57,112.46,113.11,106.81,98.43,66,91,70,22,227.55,0.9,223.44,198.75,0.6
ESS,Real Estate,REIT - Residential,105.64,106.4,107.41,107.13,105.11,99.99,65,78,65,28,288.08,0.75,294.56,263.04,0.82
WAT,Healthcare,Diagnostics & Research,105.64,105.64,103.71,96.05,104.99,111.54,65,24,64,80,357.97,0.97,340.11,325.92,0.78
FRT,Real Estate,REIT - Retail,105.63,106.08,106.04,103.82,95.6,104.37,65,63,17,50,111.45,0.81,113.75,104.91,0.55
MCD,Consumer Cyclical,Restaurants,105.59,105.59,103.69,96.88,92.26,107.63,65,29,8,65,305.04,1.0,289.97,278.55,0.62
EQR,Real Estate,REIT - Residential,105.59,105.79,106.19,104.94,102.24,95.06,65,68,49,12,73.09,0.8,73.8,66.39,0.62
META,Communication Services,Internet Content & Information,105.54,105.54,104.4,102.76,127.65,127.12,64,57,97,97,589.95,0.98,537.46,485.53,0.69
DTE,Utilities,Utilities - Regulated Electric,105.49,105.49,104.98,101.48,99.34,104.45,64,49,31,51,124.87,0.88,124.22,114.03,0.88
ED,Utilities,Utilities - Regulated Electric,105.49,105.49,104.82,100.41,98.32,98.5,64,45,25,22,102.32,0.85,102.35,94.19,0.8
SPG,Real Estate,REIT - Retail,105.41,105.41,104.56,101.43,103.96,115.47,64,49,59,88,170.78,1.0,163.56,151.54,0.77
SYF,Financial Services,Credit Services,105.39,105.65,106.57,107.33,109.51,116.07,64,79,79,89,53.15,1.0,48.29,44.18,0.66
FE,Utilities,Utilities - Regulated Electric,105.3,105.36,105.2,102.06,99.18,99.25,64,53,29,24,42.71,0.81,43.35,39.58,0.72
IVZ,Financial Services,Asset Management,105.28,105.28,104.64,99.84,94.86,112.42,63,41,13,83,17.69,0.91,16.74,16.08,0.95
AWK,Utilities,Utilities - Regulated Water,105.22,106.35,106.35,104.62,100.09,103.56,63,66,35,46,138.87,0.69,143.55,131.04,0.7
FIS,Technology,Information Technology Services,105.15,105.15,104.12,104.71,110.94,107.46,63,67,82,64,86.75,1.0,81.63,73.17,0.9
WTW,Financial Services,Insurance Brokers,105.14,105.14,104.53,102.13,102.48,106.6,63,53,51,61,290.03,0.89,287.63,267.86,1.36
NCLH,Consumer Cyclical,Travel Services,105.1,105.1,103.45,97.55,103.86,110.14,63,32,58,76,23.38,1.0,18.39,18.14,0.94
USB,Financial Services,Banks - Regional,105.05,105.07,104.87,101.25,99.07,116.36,62,48,29,90,46.26,0.94,44.45,42.42,1.21
CTSH,Technology,Information Technology Services,104.98,105.22,104.84,101.79,95.41,103.1,62,51,16,44,75.94,0.77,75.88,73.06,0.93
EQIX,Real Estate,REIT - Specialty,104.94,104.94,104.49,99.39,95.79,100.55,62,40,17,30,871.56,0.82,845.86,809.26,1.0
LDOS,Technology,Information Technology Services,104.93,104.93,104.2,109.73,112.44,106.16,62,86,86,59,167.2,0.99,155.13,137.89,0.57
INCY,Healthcare,Biotechnology,104.85,105.25,105.44,105.68,95.9,99.64,62,71,18,25,66.12,0.86,64.28,60.49,0.84
GS,Financial Services,Capital Markets,104.84,105.26,106.02,108.96,108.89,109.07,61,84,77,71,516.3,1.0,492.25,441.28,1.29
MET,Financial Services,Insurance - Life,104.74,104.74,103.32,98.12,100.1,99.76,61,34,35,26,85.51,1.0,76.72,72.39,0.76
GEHC,Healthcare,Health Information Services,104.66,104.66,103.54,97.46,109.34,109.0,61,31,78,70,91.03,0.91,86.95,83.18,0.49
HBAN,Financial Services,Banks - Regional,104.53,104.53,103.73,99.54,103.94,112.34,61,40,58,82,15.39,1.0,14.33,13.58,1.3
PLD,Real Estate,REIT - Industrial,104.47,105.61,105.7,103.42,96.89,107.92,61,61,20,66,120.24,0.58,125.15,121.91,0.83
BSX,Healthcare,Medical Devices,104.46,104.46,103.79,107.99,109.18,108.71,60,81,78,69,87.1,1.0,81.07,72.58,1.22
ORLY,Consumer Cyclical,Specialty Retail,104.41,104.41,103.42,101.98,103.12,102.77,60,52,55,43,1187.53,1.0,1133.58,1065.78,0.55
CPB,Consumer Defensive,Packaged Foods,104.41,104.86,105.31,103.61,98.62,104.76,60,61,27,53,47.41,0.68,49.62,45.6,0.65
PANW,Technology,Software - Infrastructure,104.32,104.32,107.06,107.06,103.04,115.67,60,77,54,88,373.2,0.97,341.06,318.31,0.77
DFS,Financial Services,Credit Services,104.25,104.25,103.87,102.91,112.15,113.46,60,58,85,84,145.81,1.0,134.53,125.31,0.73
DGX,Healthcare,Diagnostics & Research,104.23,104.71,104.71,102.87,100.93,105.55,59,58,40,56,148.67,0.77,152.38,139.33,0.7
CF,Basic Materials,Agricultural Inputs,104.23,104.23,101.42,94.45,95.41,93.05,59,19,16,7,87.81,0.89,81.64,78.69,0.54
PCG,Utilities,Utilities - Regulated Electric,104.17,104.17,103.6,100.18,100.7,103.14,59,43,37,45,19.63,0.8,19.29,17.8,0.43
CB,Financial Services,Insurance - Property & Casualty,104.13,104.13,103.67,100.82,101.58,101.75,59,46,43,37,286.83,0.94,281.88,259.85,0.51
TJX,Consumer Cyclical,Apparel Retail,104.08,105.32,107.35,107.55,102.35,97.49,59,81,50,18,113.73,0.8,115.56,104.54,0.75
