Ticker,Name,Sector,Industry,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
2002,中鋼,Basic Materials,Steel,92.85,92.86,92.45,87.96,85.75,98.96,32,11,9,46,22.55,0.35,22.08,23.75,0.35
6464,台數科,Communication Services,Entertainment,92.83,93.07,93.02,91.21,89.69,95.18,32,22,23,24,79.0,0.07,80.2,84.09,0.04
9962,有益,Basic Materials,Steel,92.83,92.83,92.23,88.5,88.56,97.61,32,13,17,38,15.5,0.2,15.55,16.78,0.27
3115,富榮綱,Technology,Electronic Components,92.83,93.79,93.41,91.98,89.73,98.83,32,25,23,45,9.0,0.09,9.31,10.09,1.04
6767,台微醫,Healthcare,Medical Devices,92.82,92.82,91.9,87.46,97.09,97.09,31,10,49,35,32.5,0.24,33.15,35.45,0.94
2458,義隆,Technology,Semiconductors,92.81,92.81,91.37,88.13,93.34,100.91,31,12,36,55,152.5,0.55,144.82,153.81,0.94
1802,台玻,Basic Materials,Building Materials,92.81,92.81,91.4,91.82,91.26,94.48,31,24,29,20,18.6,0.68,16.67,17.63,1.57
5498,凱崴,Industrials,Tools & Accessories,92.81,93.9,98.08,106.77,108.25,107.73,31,73,73,74,13.9,0.48,13.89,13.82,0.65
1525,江申,Consumer Cyclical,Auto Parts,92.8,92.8,92.18,90.56,88.36,96.59,31,20,16,32,70.4,0.34,68.86,72.34,1.44
2328,廣宇,Technology,Electronic Components,92.79,92.79,93.5,98.32,98.65,92.67,31,53,54,11,36.2,0.5,35.08,35.37,0.67
2347,聯強,Technology,Electronics & Computer Distribution,92.77,92.77,92.04,89.78,98.84,99.14,31,17,54,46,72.6,0.31,71.73,75.22,0.29
2065,世豐,Industrials,Tools & Accessories,92.76,92.8,92.62,90.39,92.46,98.88,31,19,33,45,58.5,0.16,59.05,61.82,0.62
6637,醫影,Healthcare,Medical Distribution,92.75,93.46,98.89,109.95,110.24,121.41,31,77,76,89,101.0,0.42,96.59,99.93,0.42
2028,威致,Basic Materials,Steel,92.74,92.9,92.72,89.15,96.06,102.88,31,15,45,62,23.5,0.18,24.16,25.47,0.71
9927,泰銘,Basic Materials,Other Industrial Metals & Mining,92.74,93.79,95.46,95.46,100.46,111.0,31,42,59,79,67.1,0.42,73.59,74.38,0.35
8916,光隆,Consumer Cyclical,Textile Manufacturing,92.73,93.21,93.4,93.07,96.37,100.44,31,30,47,54,56.4,0.41,57.36,58.88,0.37
1219,福壽,Consumer Defensive,Packaged Foods,92.73,92.88,92.75,91.12,87.99,95.68,31,22,15,27,17.15,0.1,17.21,18.04,0.3
4754,國碳科,Basic Materials,Specialty Chemicals,92.72,92.73,92.37,92.19,93.04,92.9,31,26,35,12,40.7,0.22,40.8,42.49,1.21
3556,禾瑞亞,Technology,Semiconductors,92.72,92.72,92.15,89.33,83.23,93.58,31,15,5,14,48.75,0.16,48.81,52.62,0.56
9943,好樂迪,Consumer Cyclical,Leisure,92.72,92.72,91.72,88.67,88.31,97.73,31,13,16,39,82.3,0.2,81.99,86.67,0.84
1215,卜蜂,Consumer Defensive,Packaged Foods,92.71,92.83,92.57,90.29,96.34,96.98,31,19,47,35,96.8,0.27,97.92,101.46,0.64
9908,大台北,Utilities,Utilities—Regulated Gas,92.7,93.05,93.04,91.95,88.24,93.55,31,25,16,14,30.15,0.0,30.56,31.93,0.51
6735,美達科技,Technology,Semiconductor Equipment & Materials,92.69,92.69,91.99,89.65,154.43,158.25,31,16,96,97,76.3,0.47,75.12,79.67,0.27
