Symbol,Name,Market Cap,Sector,Industry
PWR,"Quanta Services, Inc.",$18.25 B,Industrials,Engineering & Construction
CTLT,"Catalent, Inc.",$18.24 B,Healthcare,Drug Manufacturers—Specialty & Generic
J,Jacobs Engineering Group Inc.,$18.00 B,Industrials,Engineering & Construction
EXPD,"Expeditors International of Washington, Inc.",$17.98 B,Industrials,Integrated Freight & Logistics
WAB,Wabtec Corporation,$17.97 B,Industrials,Railroads
BR,"Broadridge Financial Solutions, Inc.",$17.93 B,Technology,Information Technology Services
WRB,W. R. Berkley Corporation,$17.84 B,Financials,Insurance—Property & Casualty
AMCR,Amcor plc,$17.68 B,Consumer Discretionary,Packaging & Containers
CLX,The Clorox Company,$17.63 B,Consumer Staples,Household & Personal Products
DRI,"Darden Restaurants, Inc.",$17.52 B,Consumer Discretionary,Restaurants
CNP,"CenterPoint Energy, Inc.",$17.50 B,Utilities,Utilities—Regulated Gas
TYL,"Tyler Technologies, Inc.",$17.49 B,Technology,Software—Application
INCY,Incyte Corporation,$17.31 B,Healthcare,Biotechnology
FMC,FMC Corporation,$17.29 B,Basic Materials,Agricultural Inputs
L,Loews Corporation,$17.24 B,Financials,Insurance—Property & Casualty
UDR,"UDR, Inc.",$17.17 B,Real Estate,REIT—Residential
AES,The AES Corporation,$17.13 B,Utilities,Utilities—Diversified
ROL,"Rollins, Inc.",$17.04 B,Consumer Discretionary,Personal Services
DGX,Quest Diagnostics Incorporated,$17.03 B,Healthcare,Diagnostics & Research
TFX,Teleflex Incorporated,$17.03 B,Healthcare,Medical Instruments & Supplies
DISH,DISH Network Corporation,$16.91 B,Communication Services,Entertainment
CAH,"Cardinal Health, Inc.",$16.84 B,Healthcare,Medical Distribution
TXT,Textron Inc.,$16.83 B,Industrials,Aerospace & Defense
POOL,Pool Corporation,$16.75 B,Consumer Discretionary,Leisure
CAG,"Conagra Brands, Inc.",$16.71 B,Consumer Staples,Packaged Foods
IRM,Iron Mountain Incorporated,$16.47 B,Real Estate,REIT—Specialty
CE,Celanese Corporation,$16.40 B,Basic Materials,Chemicals
NVR,"NVR, Inc.",$16.24 B,Consumer Discretionary,Residential Construction
EVRG,"Evergy, Inc.",$16.10 B,Utilities,Utilities—Regulated Electric
ATO,Atmos Energy Corporation,$16.08 B,Utilities,Utilities—Regulated Gas
LNT,Alliant Energy Corporation,$16.06 B,Utilities,Utilities—Regulated Electric
