Symbol,Name,Market Cap,Sector,Industry
GWW,"W.W. Grainger, Inc.",$27.33 B,Industrials,Industrial Distribution
MKC,"McCormick & Company, Incorporated",$27.29 B,Consumer Staples,Packaged Foods
TSCO,Tractor Supply Company,$27.09 B,Consumer Discretionary,Specialty Retail
ANSS,"ANSYS, Inc.",$26.98 B,Technology,Software—Application
ZBH,"Zimmer Biomet Holdings, Inc.",$26.94 B,Healthcare,Medical Devices
KSU,Kansas City Southern,$26.59 B,Industrials,Railroads
LUV,Southwest Airlines Co.,$26.52 B,Industrials,Airlines
DTE,DTE Energy Company,$26.41 B,Utilities,Utilities—Regulated Electric
O,Realty Income Corporation,$26.18 B,Real Estate,REIT—Retail
HIG,"The Hartford Financial Services Group, Inc.",$25.76 B,Financials,Insurance—Diversified
LH,Laboratory Corporation of America Holdings,$25.75 B,Healthcare,Diagnostics & Research
URI,"United Rentals, Inc.",$25.46 B,Industrials,Rental & Leasing Services
LEN,Lennar Corporation,$25.34 B,Consumer Discretionary,Residential Construction
FE,FirstEnergy Corp.,$25.26 B,Utilities,Utilities—Diversified
ALB,Albemarle Corporation,$25.25 B,Basic Materials,Specialty Chemicals
ENPH,"Enphase Energy, Inc.",$25.20 B,Technology,Solar
MOS,The Mosaic Company,$25.09 B,Basic Materials,Agricultural Inputs
CDW,CDW Corporation,$25.04 B,Technology,Information Technology Services
IT,"Gartner, Inc.",$25.03 B,Technology,Information Technology Services
DAL,"Delta Air Lines, Inc.",$24.92 B,Industrials,Airlines
FANG,"Diamondback Energy, Inc.",$24.84 B,Energy,Oil & Gas E&P
VRSN,"VeriSign, Inc.",$24.81 B,Technology,Software—Infrastructure
CHD,"Church & Dwight Co., Inc.",$24.81 B,Consumer Staples,Household & Personal Products
AEE,Ameren Corporation,$24.79 B,Utilities,Utilities—Regulated Electric
LYV,"Live Nation Entertainment, Inc.",$24.61 B,Communication Services,Entertainment
NTRS,Northern Trust Corporation,$24.42 B,Financials,Asset Management
MAA,"Mid-America Apartment Communities, Inc.",$24.18 B,Real Estate,REIT—Residential
VMC,Vulcan Materials Company,$24.08 B,Basic Materials,Building Materials
MLM,"Martin Marietta Materials, Inc.",$23.94 B,Basic Materials,Building Materials
BBY,"Best Buy Co., Inc.",$23.93 B,Consumer Discretionary,Specialty Retail
STE,STERIS plc,$23.93 B,Healthcare,Medical Instruments & Supplies
ETR,Entergy Corporation,$23.92 B,Utilities,Utilities—Diversified
VTR,"Ventas, Inc.",$23.81 B,Real Estate,REIT—Healthcare Facilities
SWK,"Stanley Black & Decker, Inc.",$23.57 B,Industrials,Tools & Accessories
MXIM,"Maxim Integrated Products, Inc.",$23.44 B,Technology,Semiconductors
GRMN,Garmin Ltd.,$23.35 B,Technology,Scientific & Technical Instruments
CCL,Carnival Corporation & plc,$23.29 B,Consumer Discretionary,Travel Services
FOX,Fox Corporation,$23.26 B,Communication Services,Broadcasting
FOXA,Fox Corporation,$23.26 B,Communication Services,Broadcasting
VFC,V.F. Corporation,$22.96 B,Consumer Discretionary,Apparel Manufacturing
DOV,Dover Corporation,$22.94 B,Industrials,Specialty Industrial Machinery
PPL,PPL Corporation,$22.87 B,Utilities,Utilities—Regulated Electric
HPE,Hewlett Packard Enterprise Company,$22.65 B,Technology,Communication Equipment
K,Kellogg Company,$22.63 B,Consumer Staples,Packaged Foods
ESS,"Essex Property Trust, Inc.",$22.51 B,Real Estate,REIT—Residential
BIO,"Bio-Rad Laboratories, Inc.",$22.32 B,Healthcare,Medical Devices
SWKS,"Skyworks Solutions, Inc.",$22.17 B,Technology,Semiconductors
CINF,Cincinnati Financial Corporation,$21.99 B,Financials,Insurance—Property & Casualty
CF,"CF Industries Holdings, Inc.",$21.95 B,Basic Materials,Agricultural Inputs
HBAN,Huntington Bancshares Incorporated,$21.93 B,Financials,Banks
DRE,Duke Realty Corporation,$21.93 B,Real Estate,REIT—Industrial
ZBRA,Zebra Technologies Corporation,$21.87 B,Technology,Communication Equipment
ULTA,"Ulta Beauty, Inc.",$21.82 B,Consumer Discretionary,Specialty Retail
MTB,M&T Bank Corporation,$21.74 B,Financials,Banks
KEY,KeyCorp,$21.71 B,Financials,Banks
TDY,Teledyne Technologies Incorporated,$21.65 B,Technology,Scientific & Technical Instruments
JBHT,"J.B. Hunt Transport Services, Inc.",$21.48 B,Industrials,Integrated Freight & Logistics
COO,"The Cooper Companies, Inc.",$21.35 B,Healthcare,Medical Instruments & Supplies
RF,Regions Financial Corporation,$21.32 B,Financials,Banks
VIAC,ViacomCBS Inc.,$21.22 B,Communication Services,Entertainment
STX,Seagate Technology plc,$21.21 B,Technology,Computer Hardware
IR,Ingersoll Rand Inc.,$21.13 B,Industrials,Specialty Industrial Machinery
MCHP,Microchip Technology Incorporated,$21.03 B,Technology,Semiconductors
FLT,"FLEETCOR Technologies, Inc.",$20.92 B,Technology,Information Technology Services
FTV,Fortive Corporation,$20.88 B,Technology,Scientific & Technical Instruments
RCL,Royal Caribbean Cruises Ltd.,$20.81 B,Consumer Discretionary,Travel Services
CMS,CMS Energy Corporation,$20.73 B,Utilities,Utilities—Regulated Electric
BXP,"Boston Properties, Inc.",$20.54 B,Real Estate,REIT—Office
SYF,Synchrony Financial,$20.43 B,Financials,Credit Services
MGM,MGM Resorts International,$20.22 B,Consumer Discretionary,Resorts & Casinos
PFG,"Principal Financial Group, Inc.",$20.13 B,Financials,Insurance—Diversified
PKI,"PerkinElmer, Inc.",$20.05 B,Healthcare,Diagnostics & Research
PAYC,"Paycom Software, Inc.",$19.87 B,Technology,Software—Application
TER,"Teradyne, Inc.",$19.85 B,Technology,Semiconductor Equipment & Materials
HOLX,"Hologic, Inc.",$19.75 B,Healthcare,Medical Instruments & Supplies
AKAM,"Akamai Technologies, Inc.",$19.59 B,Technology,Software—Infrastructure
MRO,Marathon Oil Corporation,$19.54 B,Energy,Oil & Gas E&P
WAT,Waters Corporation,$19.11 B,Healthcare,Diagnostics & Research
CFG,"Citizens Financial Group, Inc.",$18.95 B,Financials,Banks
OMC,Omnicom Group Inc.,$18.80 B,Communication Services,Advertising Agencies
IP,International Paper Company,$18.78 B,Consumer Discretionary,Packaging & Containers
NTAP,"NetApp, Inc.",$18.76 B,Technology,Computer Hardware
PEAK,"Healthpeak Properties, Inc.",$18.76 B,Real Estate,REIT—Healthcare Facilities
GPC,Genuine Parts Company,$18.41 B,Consumer Discretionary,Specialty Retail
TTWO,"Take-Two Interactive Software, Inc.",$18.35 B,Communication Services,Electronic Gaming & Multimedia
