Ticker,Name,Sector,Industry,Price,EPS QoQ (%),QoQ 2Q Algo (%),QoQ 3Q Algo (%),EPS YoY (%),YoY 2Q Algo (%),EPS RS,TTM EPS,Rev RS,TTM RPS,TTM PE,Rating (EPS RS),Rating (Rev RS)
4534,慶騰,Industrials,Metal Fabrication,23.5,0.25,3.67,3.67,5.8,9.0,420.89,-0.23,-16.19,8.73,,90,59
2380,虹光,Technology,Computer Hardware,6.41,-10.0,21.33,1.05,-0.29,16.0,417.12,-1.47,-10.07,11.501,,90,71
8289,泰藝,Technology,Scientific & Technical Instruments,26.45,-0.68,-0.12,-0.11,-0.42,-1.66,415.8,0.67,-28.99,21.046,39.33,90,27
6875,國邑*,Healthcare,Biotechnology,66.0,0.0,-2.76,-1.57,0.36,0.27,409.26,0.35,1.1119466666666665e+18,2.709,184.57,90,99
3691,碩禾,Technology,Solar,104.5,-3.94,3.55,3.55,10.12,4.86,407.01,-4.67,163.36,58.928,,90,97
3679,新至陞,Technology,Electronic Components,135.0,-0.52,0.21,0.27,-0.53,14.46,406.8,11.89,18.91,61.305,11.31,90,91
6584,南俊國際,Consumer Cyclical,"Furnishings, Fixtures & Appliances",174.0,0.07,0.45,0.83,3.14,13.0,404.2,2.02,19.81,25.206,83.42,90,91
9958,世紀鋼,Industrials,Metal Fabrication,215.0,-0.21,0.34,0.51,1.21,12.3,394.15,7.68,-16.17,60.869,27.47,90,59
5202,力新,Technology,Software—Application,23.8,26.87,-0.19,-0.16,9.62,3.25,391.12,4.06,-22.87,1.682,5.69,90,41
1455,集盛,Consumer Cyclical,Textile Manufacturing,10.85,-0.17,15.0,15.0,3.33,2.75,387.98,0.17,11.82,17.199,62.06,90,89
1459,聯發,Consumer Cyclical,Textile Manufacturing,10.15,35.0,-7.0,-0.87,1.57,4.0,386.5,0.33,-6.7,4.393,30.45,90,76
3490,單井,Technology,Semiconductor Equipment & Materials,32.7,-10.29,0.74,2.81,1.43,11.8,384.82,2.81,-30.34,5.494,11.37,90,25
1515,力山,Industrials,Specialty Industrial Machinery,36.5,-1.53,0.07,0.08,9.6,4.19,380.18,3.92,-18.54,48.214,9.31,89,53
8210,勤誠,Technology,Computer Hardware,266.0,0.24,0.19,0.23,0.82,12.17,379.33,13.31,8.06,111.9,19.65,89,88
3530,晶相光,Technology,Semiconductors,101.0,1.0,-3.5,-3.5,4.67,10.61,379.29,-1.37,-28.86,21.136,,89,28
6785,昱展新藥,Healthcare,Drug Manufacturers—Specialty & Generic,180.0,-4.8,0.73,2.67,2.4,2.53,375.01,7.31,,7.654,23.87,89,
5706,鳳凰,Consumer Cyclical,Travel Services,58.8,-0.37,0.13,0.15,-0.09,9.67,374.97,3.11,106.23,34.627,18.75,89,96
2035,唐榮,Basic Materials,Steel,32.9,12.0,0.03,0.03,34.0,-18.33,370.17,-2.41,-20.91,29.602,,89,47
2101,南港,Consumer Cyclical,Auto Parts,49.3,64.0,1000000.0,1000000.0,4.42,8.0,367.96,0.76,-17.24,10.139,65.53,89,57
1616,億泰,Industrials,Electrical Equipment & Parts,22.45,-3.33,-0.18,-0.15,-6.5,0.56,367.86,0.85,-13.96,22.351,25.88,89,64
5230,雷笛克光學,Technology,Electronic Components,36.15,-0.5,0.05,0.05,2.71,2.31,366.95,0.82,-0.79,30.005,41.16,89,82
3372,典範,Technology,Semiconductors,18.2,-0.06,-0.1,-0.12,0.18,1.19,366.74,-0.8,-20.82,5.448,,89,47
5464,霖宏,Technology,Electronic Components,27.75,-2.51,-0.12,-0.11,-1.21,14.1,361.51,1.68,-15.24,15.238,16.34,89,62
8299,群聯,Technology,Semiconductors,489.0,-0.0,0.47,0.89,4.25,8.54,359.45,36.17,13.48,300.815,13.59,89,89
3360,尚立,Technology,Electronics & Computer Distribution,18.45,7.5,0.94,0.48,13.5,1.59,356.22,-0.93,-73.25,67.665,,89,6
3390,旭軟,Technology,Electronic Components,30.95,0.19,-0.26,-0.21,0.62,9.6,352.48,1.72,2.77,12.609,17.73,89,85
8463,潤泰材,Basic Materials,Building Materials,28.7,-1.53,0.19,0.23,-0.67,11.67,351.33,1.02,-7.47,40.604,27.7,89,75
1451,年興,Consumer Cyclical,Textile Manufacturing,20.15,1.2,1.5,3.0,3.54,8.2,350.77,-0.17,-32.17,32.431,,89,22
4303,信立,Consumer Cyclical,Footwear & Accessories,47.75,-3.55,0.99,91.37,-8.02,18.34,350.68,4.7,8.75,2.527,10.23,89,88
1338,廣華-KY,Consumer Cyclical,Auto Parts,33.0,4.0,-5.67,-5.67,12.3,0.9,345.67,-0.98,-26.09,65.604,,89,33
8473,山林水,Industrials,Waste Management,43.85,-2.86,0.53,1.12,3.62,6.4,344.41,1.36,-65.84,20.097,31.87,88,7
6716,應廣,Technology,Semiconductors,101.0,0.3,0.26,0.36,2.46,10.0,344.2,4.86,1.92,43.535,20.58,88,84
3550,聯穎,Industrials,Electrical Equipment & Parts,26.25,2.8,4.16,-3.26,6.6,,341.15,-1.67,-26.01,39.274,,88,33
1570,力肯,Industrials,Tools & Accessories,29.65,5.36,0.87,6.5,13.83,-0.93,338.72,1.06,78.12,10.005,27.74,88,96
3631,晟楠,Industrials,Metal Fabrication,43.7,-28.0,3.5,0.78,-2.22,15.0,338.71,-0.65,-146.48,0.516,,88,3
6641,基士德-KY,Industrials,Pollution & Treatment Controls,40.9,-0.09,0.12,0.14,6.86,6.0,337.9,2.2,-17.46,51.58,18.75,88,56
2434,統懋,Technology,Semiconductors,32.15,-2.99,5.43,-0.3,-0.86,,335.49,-1.66,-8.28,1.712,,88,74
4113,聯上,Industrials,Engineering & Construction,33.4,3.25,1.27,4.75,6.71,4.92,334.53,2.43,2769.47,18.216,13.4,88,99
2520,冠德,Real Estate,Real Estate - Diversified,47.75,2.17,-0.01,-0.01,11.22,0.56,332.93,8.93,58.77,47.397,5.3,88,95
6204,艾華,Technology,Electronic Components,94.8,0.69,-1.46,-25.27,6.5,,329.95,17.36,-7.9,16.947,5.36,88,74
3406,玉晶光,Technology,Computer Hardware,481.0,-0.09,-0.22,-0.18,7.96,3.57,329.48,42.63,35.92,229.765,10.98,88,93
1806,冠軍,Industrials,Building Products & Equipment,11.95,-2.0,-2.0,-0.67,8.0,3.67,329.21,0.06,-26.32,8.629,196.67,88,32
6457,紘康,Technology,Semiconductors,65.8,8.0,-0.7,-2.3,12.62,1.14,323.52,-1.55,1.98,25.052,,88,84
6625,必應,Communication Services,Entertainment,84.1,0.28,-0.75,-0.43,-0.15,1.91,321.95,6.39,9.09,59.627,13.02,88,88
5460,同協,Industrials,Metal Fabrication,17.35,9.0,-3.25,-1.44,17.0,6.0,319.34,0.09,-40.97,5.33,183.89,88,14
6834,天二科技,Technology,Electronic Components,40.7,5.4,-0.6,-0.37,2.06,9.0,318.87,0.02,4.41,11.074,1907.5,88,86
5512,力麒,Real Estate,Real Estate—Diversified,10.45,-4.0,-0.54,-0.35,-2.0,13.0,317.12,0.35,-94.13,8.712,29.0,88,4
