Ticker,Sector,Industry,Price,EPS QoQ (%),QoQ 2Q Algo (%),QoQ 3Q Algo (%),EPS YoY (%),YoY 2Q Algo (%),EPS RS,TTM EPS,Rev RS,TTM RPS,TTM PE,Rating (EPS RS),Rating (Rev RS)
MSTR,Technology,Software - Application,337.58,3.2,-4.44,-0.76,64.12,,4195.25,14.25,-4.4,1.944,25.13,96,41
EIX,Utilities,Utilities - Regulated Electric,53.81,0.0,0.47,0.9,2.27,125.33,4174.05,6.81,-1.97,45.438,8.16,96,48
EQT,Energy,Oil & Gas E&P,52.05,2.27,-0.75,2.3,64.5,,4135.99,1.9,57.12,12.07,27.35,96,91
NTCT,Technology,Software - Infrastructure,22.74,-7.3,-1.16,4.23,123.0,2.46,4046.21,1.03,-2.95,11.645,22.82,96,45
IVT,Real Estate,REIT - Retail,28.49,12.78,-0.44,14.0,61.0,,4016.23,1.44,2.11,3.815,20.56,96,60
HCTI,Healthcare,Health Information Services,2.75,71.99,0.15,0.13,120.95,1.47,4001.39,-112.08,-15.65,19.443,,96,16
MLAB,Technology,Scientific & Technical Instruments,66.91,2.11,2.11,-3.03,0.38,169.57,3914.32,-0.13,-2.35,44.566,,96,47
GCTK,Healthcare,Medical Instruments & Supplies,5.45,3.18,13.08,0.93,101.29,16.51,3824.14,-2441.21,-7.14,,,96,31
PW,Real Estate,REIT - Specialty,1.45,10.4,-0.54,-1.18,115.0,0.4,3705.31,-1.54,-36.86,0.882,,96,9
RIGL,Healthcare,Biotechnology,41.99,4.2,-0.27,0.14,56.5,,3697.89,5.43,87.37,15.106,7.64,96,92
FWRD,Industrials,Integrated Freight & Logistics,27.9,3.1,-0.35,1.15,56.24,,3605.71,-4.96,-0.14,85.62,,96,54
LMFA,Financial Services,Credit Services,1.33,53.5,0.65,0.39,114.0,-2.31,3603.29,-4.56,2098.78,1.629,,96,95
NWTG,Consumer Cyclical,Leisure,1.68,0.62,19.41,0.95,68.71,43.58,3525.31,-130.77,198.06,3.886,,96,94
PSKY,Communication Services,Entertainment,16.03,-1.87,1.0,11500000.0,102.5,4.78,3331.53,0.03,-6.53,42.887,533.33,96,36
GE,Industrials,Aerospace & Defense,268.71,0.03,0.05,0.03,0.65,,3195.19,7.01,0.0,38.744,38.02,96,55
JTAI,Technology,Software - Application,3.12,1.01,11.34,0.92,60.59,33.64,3156.23,69.47,167.33,9.071,0.05,96,93
PFE,Healthcare,Drug Manufacturers - General,25.74,-0.02,6.43,-10.29,50.0,,3128.19,1.89,-4.55,11.252,13.69,96,41
GRI,Healthcare,Biotechnology,1.39,3.43,0.48,0.33,46.21,16.42,2964.91,90.8,-7.14,,0.02,96,31
MH,Consumer Defensive,Education & Training Services,15.35,53.22,1.02,-4.6,86.05,1.9,2876.96,-0.4,13.21,13.52,,96,79
OCSL,Financial Services,Asset Management,13.64,2.05,-5.67,-4.0,43.0,,2701.02,0.57,2642.61,3.948,24.12,96,95
LRHC,Real Estate,Real Estate Services,5.2,20.64,-0.93,-13.45,720.44,-15.74,2647.51,-55.12,21.87,178.107,,96,84
LUCY,Healthcare,Medical Instruments & Supplies,2.02,0.09,0.19,0.16,1.83,70.94,2344.94,-2.19,63.73,0.802,,96,91
ETR,Utilities,Utilities - Regulated Electric,89.22,3.98,0.25,-1.25,35.35,,2266.1,4.03,2.24,28.507,22.17,96,61
NUTX,Healthcare,Medical Care Facilities,96.18,-3.46,7.88,-23.57,34.12,,2257.54,53.66,141.69,118.737,1.72,96,93
HIPO,Financial Services,Insurance - Property & Casualty,32.96,39.2,-2.07,6.24,33.8,,2250.44,-0.38,33.9,17.005,,95,88
LPA,Real Estate,Real Estate - Development,5.71,-1.0,-4.5,-1.29,-8.75,82.5,2243.9,0.26,3.32,1.449,25.88,95,63
NOEM,Financial Services,Shell Companies,10.08,0.0,1.17,6.81,17.69,17.41,2240.68,0.1,-7.14,,100.8,95,31
DVLT,Technology,Software - Infrastructure,0.397,-2.0,3.36,0.77,21.02,28.72,2165.76,5.04,247.29,0.132,0.08,95,94
KN,Technology,Electronic Components,20.35,5.5,-11.5,20.0,33.22,,2111.85,0.3,-9.08,6.413,71.9,95,24
MX,Technology,Semiconductors,2.72,25.0,0.83,-0.69,35.0,,2105.81,-0.92,-14.99,6.359,,95,17
RPT,Real Estate,REIT - Mortgage,2.55,9.0,-2.33,4.0,33.0,,2079.24,0.11,68.83,0.121,23.64,95,92
NVST,Healthcare,Medical Instruments & Supplies,20.46,0.0,9.0,-4.0,67.9,-0.4,2009.47,0.32,-1.97,14.881,67.88,95,48
PWP,Financial Services,Capital Markets,21.09,-6.0,-0.29,0.24,31.25,,1981.93,1.03,-56.02,14.878,21.75,95,7
RDDT,Communication Services,Internet Content & Information,218.65,0.0,-1.86,1.22,3.33,59.5,1959.94,2.24,60.77,9.335,97.01,95,91
KLXE,Energy,Oil & Gas Equipment & Services,1.78,0.56,-0.8,-0.76,-1.12,,1946.18,-4.04,2.95,38.802,,95,63
RNW,Utilities,Utilities - Renewable,7.67,5.23,5.23,-2.26,57.12,0.72,1891.64,0.28,46.33,312.234,27.82,95,90
MIGI,Financial Services,Capital Markets,0.4291,-19.0,16.0,0.94,0.37,58.5,1882.55,-1.29,-27.07,2.66,,95,11
MDRR,Real Estate,REIT - Diversified,11.7674,1.18,-0.22,-0.29,1.76,-2.65,1804.07,-2.61,-4.22,7.74,,95,42
MANU,Communication Services,Entertainment,17.19,9.41,-21.96,28.49,26.46,,1675.12,-0.52,7.98,3.788,,95,72
GURE,Basic Materials,Chemicals,0.7,5.67,-0.1,-0.11,50.5,-0.08,1651.24,-2.46,116.04,1.197,,95,93
IMCC,Healthcare,Drug Manufacturers - Specialty & Generic,2.2329,-2.0,2.78,1.56,14.11,29.0,1648.69,-0.49,-11.38,18.588,,95,20
SIF,Industrials,Aerospace & Defense,6.82,3.43,0.65,-1.05,55.0,0.17,1629.67,-0.31,-9.61,13.851,,95,23
IIIV,Technology,Software - Infrastructure,30.5,54.0,-9.0,-61.25,2.66,,1617.85,0.48,1.04,10.411,65.9,95,57
LUMN,Communication Services,Telecom Services,4.31,0.0,-3.22,2.67,-3.0,-4.33,1507.78,-1.19,-15.8,12.939,,95,16
GOTU,Consumer Defensive,Education & Training Services,3.7,2.08,2.44,-0.11,11.57,,1496.02,-0.49,21.27,19.997,,95,84
EBS,Healthcare,Drug Manufacturers - Specialty & Generic,9.32,-6.68,3.16,-4.72,23.45,,1462.01,2.62,-73.91,15.785,3.52,95,6
PRCH,Technology,Software - Application,15.64,-1.67,-2.75,1.15,22.67,,1457.24,0.56,9.17,4.286,29.7,95,73
RELI,Financial Services,Insurance Brokers,0.8854,-0.29,0.01,0.01,2.25,19.97,1442.28,4.23,-5.84,6.308,0.22,95,38
JYNT,Healthcare,Medical Care Facilities,10.46,-5.0,4.0,0.17,25.0,,1425.31,-0.06,-13.65,3.537,,95,18
NBY,Healthcare,Biotechnology,1.07,-5.36,2.43,2.43,3.15,21.8,1350.58,2.3,-7.54,1.712,0.4,95,26
